City/Municipality, Number of Households* , Electricity , Kerosene (Gaas) , Liquified Petroleum Gas (LPG) , Oil (vegetable animal and others) , Solar panel , Solar lamp , Others , None , Not Reported 
BALANGKAYAN,  2.375 ,  2.220 ,  141 ,  -   ,  -   ,  -   ,  11 ,  3 ,  -   ,  -   
CITY OF BORONGAN (Capital),  15.120 ,  14.236 ,  762 ,  48 ,  8 ,  2 ,  41 ,  10 ,  13 ,  -   
CAN-AVID,  4.505 ,  4.152 ,  302 ,  20 ,  -   ,  -   ,  24 ,  5 ,  2 ,  -   
DOLORES,  9.451 ,  8.034 ,  1.218 ,  73 ,  5 ,  54 ,  43 ,  10 ,  14 ,  -   
GENERAL MACARTHUR,  3.034 ,  2.662 ,  181 ,  88 ,  -   ,  37 ,  56 ,  10 ,  -   ,  -   
GIPORLOS,  3.224 ,  2.876 ,  215 ,  16 ,  -   ,  2 ,  112 ,  2 ,  1 ,  -   
GUIUAN,  12.448 ,  10.643 ,  352 ,  40 ,  -   ,  221 ,  1.103 ,  81 ,  8 ,  -   
HERNANI,  2.060 ,  1.819 ,  85 ,  1 ,  -   ,  5 ,  145 ,  -   ,  5 ,  -   
JIPAPAD,  1.728 ,  1.628 ,  84 ,  12 ,  -   ,  1 ,  3 ,  -   ,  -   ,  -   
LAWAAN,  3.021 ,  2.747 ,  219 ,  -   ,  -   ,  4 ,  47 ,  4 ,  -   ,  -   
LLORENTE,  4.768 ,  4.430 ,  281 ,  39 ,  -   ,  -   ,  12 ,  1 ,  5 ,  -   
MASLOG,  1.077 ,  674 ,  373 ,  -   ,  -   ,  -   ,  30 ,  -   ,  -   ,  -   
MAYDOLONG,  3.247 ,  3.080 ,  152 ,  2 ,  1 ,  2 ,  7 ,  2 ,  1 ,  -   
MERCEDES,  1.530 ,  1.413 ,  28 ,  1 ,  -   ,  4 ,  82 ,  2 ,  -   ,  -   
ORAS,  8.618 ,  7.700 ,  600 ,  9 ,  -   ,  207 ,  94 ,  6 ,  2 ,  -   
QUINAPONDAN,  3.388 ,  3.190 ,  119 ,  3 ,  -   ,  16 ,  52 ,  2 ,  6 ,  -   
SALCEDO,  5.211 ,  4.714 ,  299 ,  60 ,  -   ,  8 ,  121 ,  6 ,  3 ,  -   
SAN JULIAN,  3.369 ,  2.952 ,  342 ,  16 ,  52 ,  1 ,  4 ,  2 ,  -   ,  -   
SAN POLICARPO,  3.271 ,  3.127 ,  138 ,  2 ,  -   ,  -   ,  2 ,  -   ,  2 ,  -   
SULAT,  3.677 ,  3.364 ,  271 ,  31 ,  -   ,  -   ,  7 ,  2 ,  2 ,  -   
TAFT,  4.388 ,  3.811 ,  503 ,  4 ,  -   ,  1 ,  18 ,  2 ,  49 ,  -   
LEYTE (excluding Tacloban City),  405.438 ,  321.621 ,  67.916 ,  2.701 ,  70 ,  1.290 ,  10.181 ,  1.156 ,  503 ,  -   
ABUYOG,  13.508 ,  11.369 ,  2.062 ,  7 ,  -   ,  12 ,  43 ,  10 ,  5 ,  -   
ALANGALANG,  12.768 ,  8.711 ,  2.884 ,  218 ,  9 ,  46 ,  888 ,  9 ,  3 ,  -   
ALBUERA,  11.067 ,  9.137 ,  1.698 ,  -   ,  -   ,  6 ,  178 ,  37 ,  11 ,  -   
BABATNGON,  6.108 ,  5.360 ,  590 ,  119 ,  6 ,  3 ,  27 ,  2 ,  1 ,  -   
BARUGO,  6.919 ,  5.578 ,  1.162 ,  107 ,  1 ,  1 ,  21 ,  2 ,  47 ,  -   
BATO,  8.691 ,  6.807 ,  1.170 ,  -   ,  -   ,  142 ,  69 ,  475 ,  28 ,  -   
CITY OF BAYBAY,  26.180 ,  22.949 ,  3.118 ,  4 ,  5 ,  5 ,  48 ,  35 ,  16 ,  -   
BURAUEN,  12.577 ,  9.099 ,  3.045 ,  167 ,  -   ,  61 ,  126 ,  8 ,  71 ,  -   
CALUBIAN,  7.858 ,  5.573 ,  1.881 ,  94 ,  -   ,  47 ,  166 ,  3 ,  94 ,  -   
CAPOOCAN,  7.332 ,  5.273 ,  1.913 ,  35 ,  -   ,  12 ,  77 ,  20 ,  2 ,  -   
CARIGARA,  11.303 ,  9.414 ,  1.686 ,  42 ,  3 ,  21 ,  131 ,  3 ,  3 ,  -   
DAGAMI,  8.433 ,  5.927 ,  2.271 ,  1 ,  3 ,  4 ,  215 ,  7 ,  5 ,  -   
DULAG,  11.838 ,  8.844 ,  1.976 ,  151 ,  1 ,  34 ,  810 ,  16 ,  6 ,  -   
HILONGOS,  14.394 ,  12.740 ,  1.624 ,  2 ,  1 ,  2 ,  8 ,  9 ,  8 ,  -   
HINDANG,  4.994 ,  4.337 ,  498 ,  14 ,  1 ,  127 ,  7 ,  6 ,  4 ,  -   
INOPACAN,  4.912 ,  4.067 ,  710 ,  1 ,  -   ,  50 ,  26 ,  55 ,  3 ,  -   
ISABEL,  11.201 ,  9.473 ,  1.252 ,  10 ,  2 ,  110 ,  319 ,  25 ,  10 ,  -   
JARO,  9.747 ,  6.953 ,  2.542 ,  131 ,  -   ,  3 ,  102 ,  6 ,  10 ,  -   
JAVIER (BUGHO),  6.024 ,  4.700 ,  1.280 ,  1 ,  -   ,  1 ,  33 ,  6 ,  3 ,  -   
JULITA,  3.840 ,  2.671 ,  439 ,  76 ,  -   ,  48 ,  597 ,  7 ,  2 ,  -   
KANANGA,  12.921 ,  10.255 ,  2.295 ,  6 ,  1 ,  52 ,  268 ,  36 ,  8 ,  -   
LA PAZ,  4.980 ,  3.278 ,  1.643 ,  -   ,  -   ,  9 ,  39 ,  7 ,  4 ,  -   
LEYTE,  9.101 ,  6.429 ,  1.844 ,  517 ,  16 ,  17 ,  228 ,  33 ,  17 ,  -   
MACARTHUR,  5.109 ,  3.957 ,  1.073 ,  2 ,  -   ,  4 ,  57 ,  11 ,  5 ,  -   
MAHAPLAG,  6.238 ,  4.903 ,  1.287 ,  3 ,  -   ,  3 ,  39 ,  2 ,  1 ,  -   
MATAG-OB,  4.570 ,  3.416 ,  890 ,  2 ,  -   ,  9 ,  241 ,  11 ,  1 ,  -   
MATALOM,  7.537 ,  6.571 ,  883 ,  52 ,  -   ,  4 ,  13 ,  11 ,  3 ,  -   
MAYORGA,  4.236 ,  3.016 ,  841 ,  1 ,  -   ,  6 ,  361 ,  5 ,  6 ,  -   
MERIDA,  7.923 ,  5.838 ,  1.295 ,  2 ,  8 ,  31 ,  733 ,  6 ,  10 ,  -   
ORMOC CITY,  49.906 ,  42.522 ,  6.031 ,  58 ,  9 ,  166 ,  995 ,  88 ,  37 ,  -   
PALO,  15.730 ,  13.806 ,  1.116 ,  32 ,  -   ,  56 ,  654 ,  46 ,  20 ,  -   
PALOMPON,  14.514 ,  12.678 ,  1.534 ,  68 ,  -   ,  27 ,  156 ,  44 ,  7 ,  -   
PASTRANA,  4.331 ,  2.978 ,  1.322 ,  10 ,  -   ,  2 ,  17 ,  2 ,  -   ,  -   
SAN ISIDRO,  7.882 ,  5.178 ,  2.389 ,  14 ,  1 ,  21 ,  263 ,  13 ,  3 ,  -   
SAN MIGUEL,  4.309 ,  3.215 ,  959 ,  88 ,  -   ,  2 ,  44 ,  1 ,  -   ,  -   
SANTA FE,  4.741 ,  3.628 ,  1.022 ,  10 ,  2 ,  9 ,  63 ,  3 ,  4 ,  -   
TABANGO,  8.227 ,  5.169 ,  2.327 ,  196 ,  -   ,  59 ,  466 ,  7 ,  3 ,  -   
TABONTABON,  2.780 ,  2.028 ,  445 ,  7 ,  -   ,  1 ,  288 ,  9 ,  2 ,  -   
TANAUAN,  13.518 ,  10.350 ,  2.087 ,  235 ,  -   ,  19 ,  770 ,  41 ,  16 ,  -   
TOLOSA,  5.073 ,  4.194 ,  532 ,  122 ,  -   ,  8 ,  190 ,  11 ,  16 ,  -   
TUNGA,  1.597 ,  1.397 ,  192 ,  -   ,  -   ,  -   ,  5 ,  -   ,  3 ,  -   
VILLABA,  10.521 ,  7.833 ,  2.108 ,  96 ,  1 ,  50 ,  400 ,  28 ,  5 ,  -   
TACLOBAN CITY (Capital),  50.451 ,  45.790 ,  2.200 ,  154 ,  4 ,  363 ,  1.731 ,  120 ,  89 ,  -   
NORTHERN SAMAR,  126.619 ,  100.511 ,  21.077 ,  1.444 ,  86 ,  1.840 ,  786 ,  754 ,  118 ,  3 
ALLEN,  5.543 ,  5.018 ,  515 ,  3 ,  1 ,  1 ,  1 ,  -   ,  4 ,  -   
BIRI,  2.269 ,  1.373 ,  190 ,  2 ,  1 ,  654 ,  37 ,  12 ,  -   ,  -   
BOBON,  4.873 ,  3.750 ,  985 ,  109 ,  -   ,  -   ,  21 ,  8 ,  -   ,  -   
CAPUL,  2.504 ,  1.599 ,  643 ,  7 ,  -   ,  137 ,  90 ,  27 ,  1 ,  -   
CATARMAN (Capital),  19.091 ,  15.962 ,  2.681 ,  196 ,  8 ,  19 ,  124 ,  70 ,  31 ,  -   
CATUBIG,  6.514 ,  5.573 ,  767 ,  57 ,  -   ,  29 ,  33 ,  53 ,  -   ,  2 
GAMAY,  5.263 ,  4.691 ,  441 ,  41 ,  -   ,  11 ,  10 ,  2 ,  67 ,  -   
LAOANG,  12.283 ,  10.272 ,  1.821 ,  122 ,  2 ,  29 ,  35 ,  2 ,  -   ,  -   
LAPINIG,  2.483 ,  2.260 ,  103 ,  95 ,  1 ,  -   ,  24 ,  -   ,  -   ,  -   
LAS NAVAS,  7.133 ,  4.702 ,  1.786 ,  229 ,  28 ,  123 ,  46 ,  218 ,  -   ,  1 
LAVEZARES,  6.133 ,  5.285 ,  757 ,  59 ,  4 ,  5 ,  16 ,  2 ,  5 ,  -   
MAPANAS,  2.785 ,  2.160 ,  441 ,  35 ,  -   ,  27 ,  53 ,  69 ,  -   ,  -   
MONDRAGON,  7.593 ,  5.721 ,  1.760 ,  62 ,  2 ,  6 ,  36 ,  5 ,  1 ,  -   
PALAPAG,  6.957 ,  6.002 ,  742 ,  167 ,  -   ,  6 ,  33 ,  1 ,  6 ,  -   
PAMBUJAN,  6.115 ,  5.154 ,  938 ,  -   ,  1 ,  3 ,  8 ,  10 ,  1 ,  -   
ROSARIO,  2.080 ,  1.630 ,  362 ,  74 ,  -   ,  3 ,  10 ,  -   ,  1 ,  -   
SAN ANTONIO,  1.880 ,  1.514 ,  356 ,  2 ,  -   ,  1 ,  4 ,  3 ,  -   ,  -   
SAN ISIDRO,  5.666 ,  4.847 ,  742 ,  47 ,  -   ,  3 ,  27 ,  -   ,  -   ,  -   
SAN JOSE,  3.907 ,  3.226 ,  652 ,  -   ,  -   ,  1 ,  25 ,  3 ,  -   ,  -   
SAN ROQUE,  5.106 ,  4.320 ,  700 ,  75 ,  1 ,  2 ,  7 ,  1 ,  -   ,  -   
SAN VICENTE,  1.644 ,  580 ,  417 ,  -   ,  1 ,  615 ,  26 ,  5 ,  -   ,  -   
SILVINO LOBOS,  2.735 ,  187 ,  2.003 ,  4 ,  35 ,  162 ,  100 ,  244 ,  -   ,  -   
VICTORIA,  3.215 ,  2.691 ,  516 ,  2 ,  1 ,  1 ,  4 ,  -   ,  -   ,  -   
LOPE DE VEGA,  2.847 ,  1.994 ,  759 ,  56 ,  -   ,  2 ,  16 ,  19 ,  1 ,  -   
SAMAR (WESTERN SAMAR),  165.264 ,  142.367 ,  19.965 ,  1.131 ,  19 ,  424 ,  630 ,  617 ,  111 ,  -   
ALMAGRO,  2.101 ,  1.912 ,  156 ,  31 ,  -   ,  1 ,  1 ,  -   ,  -   ,  -   
BASEY,  12.648 ,  11.061 ,  1.318 ,  130 ,  5 ,  32 ,  92 ,  4 ,  6 ,  -   
CALBAYOG CITY,  38.411 ,  33.293 ,  4.317 ,  263 ,  -   ,  259 ,  201 ,  60 ,  18 ,  -   
CALBIGA,  5.160 ,  4.544 ,  571 ,  33 ,  -   ,  -   ,  8 ,  -   ,  4 ,  -   
CITY OF CATBALOGAN (Capital),  21.162 ,  19.249 ,  1.500 ,  21 ,  5 ,  13 ,  16 ,  341 ,  17 ,  -   
DARAM,  8.716 ,  8.153 ,  458 ,  101 ,  1 ,  -   ,  2 ,  1 ,  -   ,  -   
GANDARA,  7.121 ,  5.612 ,  1.384 ,  55 ,  2 ,  7 ,  51 ,  2 ,  8 ,  -   
HINABANGAN,  2.791 ,  2.566 ,  218 ,  2 ,  -   ,  1 ,  3 ,  1 ,  -   ,  -   
JIABONG,  3.896 ,  3.454 ,  436 ,  3 ,  -   ,  1 ,  1 ,  1 ,  -   ,  -   
MARABUT,  3.980 ,  3.466 ,  411 ,  3 ,  -   ,  44 ,  43 ,  1 ,  12 ,  -   
MATUGUINAO,  1.523 ,  634 ,  781 ,  83 ,  1 ,  9 ,  14 ,  1 ,  -   ,  -   
MOTIONG,  3.043 ,  2.687 ,  327 ,  1 ,  -   ,  5 ,  23 ,  -   ,  -   ,  -   
PINABACDAO,  3.769 ,  3.465 ,  298 ,  1 ,  -   ,  -   ,  2 ,  2 ,  1 ,  -   
SAN JOSE DE BUAN,  1.649 ,  1.032 ,  574 ,  12 ,  -   ,  3 ,  24 ,  4 ,  -   ,  -   
SAN SEBASTIAN,  1.696 ,  1.556 ,  137 ,  1 ,  -   ,  -   ,  2 ,  -   ,  -   ,  -   
SANTA MARGARITA,  5.833 ,  4.704 ,  1.027 ,  70 ,  1 ,  8 ,  20 ,  1 ,  2 ,  -   
SANTA RITA,  8.865 ,  7.470 ,  1.313 ,  16 ,  1 ,  4 ,  33 ,  3 ,  25 ,  -   
SANTO NI-O,  2.742 ,  1.922 ,  646 ,  11 ,  -   ,  -   ,  2 ,  161 ,  -   ,  -   
TALALORA,  1.676 ,  1.573 ,  88 ,  7 ,  -   ,  3 ,  4 ,  -   ,  1 ,  -   
TARANGNAN,  5.580 ,  4.844 ,  634 ,  87 ,  -   ,  -   ,  3 ,  -   ,  12 ,  -   
VILLAREAL,  5.986 ,  5.289 ,  648 ,  31 ,  1 ,  6 ,  9 ,  1 ,  1 ,  -   
PARANAS (WRIGHT),  6.349 ,  5.875 ,  413 ,  56 ,  2 ,  -   ,  2 ,  1 ,  -   ,  -   
ZUMARRAGA,  3.302 ,  2.982 ,  309 ,  4 ,  -   ,  1 ,  5 ,  -   ,  1 ,  -   
TAGAPUL-AN,  1.955 ,  881 ,  915 ,  39 ,  -   ,  27 ,  62 ,  30 ,  1 ,  -   
SAN JORGE,  3.486 ,  2.614 ,  863 ,  1 ,  -   ,  -   ,  5 ,  2 ,  1 ,  -   
PAGSANGHAN,  1.824 ,  1.529 ,  223 ,  69 ,  -   ,  -   ,  2 ,  -   ,  1 ,  -   
SOUTHERN LEYTE,  92.836 ,  85.608 ,  6.823 ,  90 ,  10 ,  175 ,  89 ,  41 ,  -   ,  -   
ANAHAWAN,  1.788 ,  1.690 ,  96 ,  -   ,  1 ,  1 ,  -   ,  -   ,  -   ,  -   
BONTOC,  6.599 ,  5.936 ,  647 ,  1 ,  1 ,  1 ,  5 ,  8 ,  -   ,  -   
HINUNANGAN,  6.940 ,  6.239 ,  535 ,  -   ,  -   ,  152 ,  9 ,  5 ,  -   ,  -   
HINUNDAYAN,  3.054 ,  2.674 ,  373 ,  6 ,  -   ,  1 ,  -   ,  -   ,  -   ,  -   
LIBAGON,  3.178 ,  2.832 ,  333 ,  -   ,  1 ,  1 ,  9 ,  2 ,  -   ,  -   
LILOAN,  5.090 ,  4.752 ,  312 ,  20 ,  1 ,  -   ,  3 ,  2 ,  -   ,  -   
CITY OF MAASIN (Capital),  18.619 ,  17.675 ,  891 ,  26 ,  2 ,  -   ,  16 ,  9 ,  -   ,  -   
MACROHON,  6.058 ,  5.547 ,  466 ,  28 ,  -   ,  -   ,  15 ,  2 ,  -   ,  -   
MALITBOG,  4.329 ,  3.857 ,  465 ,  1 ,  -   ,  2 ,  4 ,  -   ,  -   ,  -   
PADRE BURGOS,  2.387 ,  2.202 ,  181 ,  1 ,  -   ,  -   ,  2 ,  1 ,  -   ,  -   
PINTUYAN,  2.218 ,  1.990 ,  224 ,  -   ,  3 ,  -   ,  1 ,  -   ,  -   ,  -   
SAINT BERNARD,  5.919 ,  5.668 ,  240 ,  4 ,  1 ,  1 ,  4 ,  1 ,  -   ,  -   
SAN FRANCISCO,  2.972 ,  2.707 ,  253 ,  1 ,  -   ,  8 ,  1 ,  2 ,  -   ,  -   
SAN JUAN (CABALIAN),  3.356 ,  3.185 ,  169 ,  -   ,  -   ,  -   ,  2 ,  -   ,  -   ,  -   
SAN RICARDO,  2.213 ,  2.100 ,  111 ,  -   ,  -   ,  -   ,  2 ,  -   ,  -   ,  -   
SILAGO,  3.105 ,  2.874 ,  225 ,  -   ,  -   ,  4 ,  2 ,  -   ,  -   ,  -   
SOGOD,  9.954 ,  9.246 ,  698 ,  1 ,  -   ,  2 ,  7 ,  -   ,  -   ,  -   
TOMAS OPPUS,  3.691 ,  3.249 ,  430 ,  1 ,  -   ,  1 ,  6 ,  4 ,  -   ,  -   
LIMASAWA,  1.366 ,  1.185 ,  174 ,  -   ,  -   ,  1 ,  1 ,  5 ,  -   ,  -   
,,,,,,,,,,
REGION IX - ZAMBOANGA PENINSULA,  795.345 ,  602.971 ,  164.929 ,  3.333 ,  148 ,  5.277 ,  15.392 ,  1.944 ,  1.335 ,  16 
ZAMBOANGA DEL NORTE,  224.828 ,  164.412 ,  53.468 ,  885 ,  44 ,  1.013 ,  4.064 ,  605 ,  337 ,  -   
DAPITAN CITY,  18.108 ,  15.961 ,  1.942 ,  9 ,  4 ,  105 ,  29 ,  44 ,  14 ,  -   
DIPOLOG CITY (Capital),  29.983 ,  27.651 ,  2.185 ,  11 ,  5 ,  9 ,  49 ,  53 ,  20 ,  -   
KATIPUNAN,  9.803 ,  6.314 ,  3.336 ,  9 ,  -   ,  6 ,  62 ,  65 ,  11 ,  -   
LA LIBERTAD,  1.871 ,  1.577 ,  291 ,  3 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
LABASON,  9.186 ,  7.666 ,  1.423 ,  35 ,  4 ,  3 ,  37 ,  10 ,  8 ,  -   
LILOY,  9.369 ,  8.381 ,  861 ,  30 ,  -   ,  2 ,  24 ,  17 ,  54 ,  -   
MANUKAN,  7.823 ,  5.360 ,  2.389 ,  4 ,  2 ,  36 ,  27 ,  4 ,  1 ,  -   
MUTIA,  2.686 ,  2.153 ,  515 ,  12 ,  1 ,  -   ,  2 ,  3 ,  -   ,  -   
PI-AN (NEW PIÑAN),  4.632 ,  3.647 ,  971 ,  3 ,  1 ,  -   ,  4 ,  4 ,  2 ,  -   
POLANCO,  9.198 ,  7.432 ,  1.681 ,  48 ,  -   ,  4 ,  25 ,  3 ,  5 ,  -   
PRES. MANUEL A. ROXAS,  8.423 ,  5.010 ,  2.911 ,  225 ,  3 ,  54 ,  98 ,  111 ,  11 ,  -   
RIZAL,  3.521 ,  2.958 ,  554 ,  -   ,  -   ,  2 ,  3 ,  4 ,  -   ,  -   
SALUG,  7.233 ,  5.653 ,  1.486 ,  3 ,  -   ,  15 ,  32 ,  20 ,  24 ,  -   
SERGIO OSMEÑA SR.,  6.529 ,  3.427 ,  2.857 ,  1 ,  -   ,  50 ,  175 ,  15 ,  4 ,  -   
SIAYAN,  7.319 ,  2.406 ,  4.172 ,  212 ,  2 ,  35 ,  380 ,  75 ,  37 ,  -   
SIBUCO,  7.229 ,  2.688 ,  3.216 ,  5 ,  1 ,  215 ,  1.068 ,  29 ,  7 ,  -   
SIBUTAD,  4.322 ,  3.670 ,  616 ,  -   ,  -   ,  5 ,  5 ,  23 ,  3 ,  -   
SINDANGAN,  22.409 ,  16.341 ,  5.650 ,  29 ,  8 ,  102 ,  196 ,  50 ,  33 ,  -   
SIOCON,  10.613 ,  7.871 ,  2.496 ,  8 ,  1 ,  43 ,  182 ,  11 ,  1 ,  -   
SIRAWAI,  5.854 ,  2.561 ,  1.606 ,  90 ,  1 ,  195 ,  1.382 ,  14 ,  5 ,  -   
TAMPILISAN,  5.657 ,  4.395 ,  1.152 ,  1 ,  -   ,  4 ,  14 ,  4 ,  87 ,  -   
JOSE DALMAN (PONOT),  6.104 ,  4.205 ,  1.846 ,  3 ,  1 ,  6 ,  40 ,  2 ,  1 ,  -   
GUTALAC,  7.584 ,  5.061 ,  2.304 ,  99 ,  9 ,  38 ,  67 ,  3 ,  3 ,  -   
BALIGUIAN,  5.176 ,  3.638 ,  1.470 ,  5 ,  1 ,  29 ,  32 ,  1 ,  -   ,  -   
GODOD,  3.802 ,  1.965 ,  1.762 ,  1 ,  -   ,  25 ,  43 ,  6 ,  -   ,  -   
BACUNGAN (Leon T. Postigo),  5.564 ,  3.224 ,  2.239 ,  4 ,  -   ,  22 ,  40 ,  33 ,  2 ,  -   
KALAWIT,  4.830 ,  3.197 ,  1.537 ,  35 ,  -   ,  8 ,  48 ,  1 ,  4 ,  -   
ZAMBOANGA DEL SUR (excluding Zamboanga City),  216.242 ,  144.866 ,  59.492 ,  840 ,  46 ,  2.298 ,  7.835 ,  588 ,  277 ,  -   
AURORA,  11.037 ,  8.134 ,  2.313 ,  25 ,  -   ,  44 ,  492 ,  19 ,  10 ,  -   
BAYOG,  6.920 ,  4.141 ,  2.416 ,  29 ,  2 ,  65 ,  227 ,  38 ,  2 ,  -   
DIMATALING,  6.572 ,  4.349 ,  2.063 ,  3 ,  -   ,  42 ,  102 ,  11 ,  2 ,  -   
DINAS,  7.702 ,  4.718 ,  2.250 ,  10 ,  -   ,  308 ,  405 ,  11 ,  -   ,  -   
DUMALINAO,  7.097 ,  5.021 ,  1.679 ,  2 ,  -   ,  119 ,  261 ,  14 ,  1 ,  -   
DUMINGAG,  9.888 ,  4.905 ,  4.322 ,  101 ,  1 ,  69 ,  421 ,  66 ,  3 ,  -   
KUMALARANG,  6.005 ,  3.467 ,  2.241 ,  37 ,  -   ,  59 ,  194 ,  6 ,  1 ,  -   
LABANGAN,  8.767 ,  7.124 ,  1.410 ,  14 ,  7 ,  67 ,  124 ,  20 ,  1 ,  -   
LAPUYAN,  5.793 ,  2.645 ,  2.595 ,  1 ,  -   ,  36 ,  512 ,  4 ,  -   ,  -   
MAHAYAG,  9.769 ,  6.296 ,  3.022 ,  27 ,  -   ,  125 ,  272 ,  24 ,  3 ,  -   
MARGOSATUBIG,  8.823 ,  5.724 ,  2.256 ,  303 ,  5 ,  118 ,  397 ,  16 ,  4 ,  -   
MIDSALIP,  6.782 ,  2.361 ,  3.811 ,  4 ,  2 ,  59 ,  420 ,  9 ,  116 ,  -   
MOLAVE,  11.515 ,  8.759 ,  2.452 ,  5 ,  9 ,  38 ,  152 ,  8 ,  92 ,  -   
PAGADIAN CITY (Capital),  40.872 ,  35.446 ,  4.446 ,  152 ,  5 ,  203 ,  522 ,  81 ,  17 ,  -   
RAMON MAGSAYSAY (LIARGO),  6.158 ,  3.788 ,  1.917 ,  58 ,  -   ,  101 ,  274 ,  15 ,  5 ,  -   
SAN MIGUEL,  4.234 ,  2.761 ,  1.322 ,  2 ,  -   ,  21 ,  126 ,  1 ,  1 ,  -   
SAN PABLO,  5.812 ,  3.016 ,  2.047 ,  5 ,  -   ,  150 ,  565 ,  24 ,  5 ,  -   
TABINA,  5.627 ,  3.547 ,  1.476 ,  3 ,  3 ,  68 ,  490 ,  40 ,  -   ,  -   
TAMBULIG,  7.717 ,  4.828 ,  2.506 ,  12 ,  7 ,  43 ,  290 ,  28 ,  3 ,  -   
TUKURAN,  8.498 ,  6.245 ,  1.678 ,  16 ,  -   ,  101 ,  425 ,  31 ,  2 ,  -   
LAKEWOOD,  4.099 ,  2.648 ,  1.295 ,  8 ,  1 ,  11 ,  120 ,  16 ,  -   ,  -   
JOSEFINA,  2.556 ,  1.245 ,  1.178 ,  1 ,  -   ,  29 ,  101 ,  1 ,  1 ,  -   
PITOGO,  5.881 ,  3.956 ,  1.629 ,  12 ,  3 ,  73 ,  163 ,  40 ,  5 ,  -   
SOMINOT (DON MARIANO MARCOS),  4.149 ,  2.091 ,  1.861 ,  2 ,  1 ,  51 ,  139 ,  2 ,  2 ,  -   
VINCENZO A. SAGUN,  5.061 ,  2.157 ,  2.492 ,  2 ,  -   ,  71 ,  314 ,  24 ,  1 ,  -   
GUIPOS,  4.307 ,  2.866 ,  1.172 ,  2 ,  -   ,  103 ,  151 ,  13 ,  -   ,  -   
TIGBAO,  4.601 ,  2.628 ,  1.643 ,  4 ,  -   ,  124 ,  176 ,  26 ,  -   ,  -   
ZAMBOANGA CITY,  190.568 ,  168.368 ,  17.544 ,  867 ,  33 ,  1.115 ,  1.765 ,  382 ,  489 ,  5 
ZAMBOANGA SIBUGAY,  140.791 ,  105.364 ,  31.864 ,  717 ,  21 ,  804 ,  1.552 ,  275 ,  183 ,  11 
ALICIA,  7.766 ,  5.343 ,  2.224 ,  10 ,  3 ,  37 ,  58 ,  79 ,  11 ,  1 
BUUG,  8.344 ,  6.698 ,  1.539 ,  5 ,  -   ,  9 ,  80 ,  11 ,  2 ,  -   
DIPLAHAN,  7.663 ,  5.671 ,  1.839 ,  3 ,  2 ,  16 ,  114 ,  14 ,  4 ,  -   
IMELDA,  6.540 ,  4.624 ,  1.704 ,  121 ,  3 ,  40 ,  38 ,  2 ,  7 ,  1 
IPIL (CAPITAL),  18.094 ,  15.629 ,  2.166 ,  77 ,  3 ,  59 ,  84 ,  37 ,  35 ,  4 
KABASALAN,  9.517 ,  7.335 ,  2.049 ,  7 ,  1 ,  57 ,  39 ,  13 ,  16 ,  -   
MABUHAY,  6.986 ,  4.396 ,  2.290 ,  6 ,  -   ,  125 ,  152 ,  16 ,  1 ,  -   
MALANGAS,  8.067 ,  6.434 ,  1.546 ,  8 ,  1 ,  21 ,  52 ,  2 ,  2 ,  1 
NAGA,  8.562 ,  6.873 ,  1.485 ,  27 ,  1 ,  112 ,  50 ,  9 ,  4 ,  1 
OLUTANGA,  6.765 ,  5.594 ,  1.043 ,  59 ,  -   ,  6 ,  47 ,  -   ,  15 ,  1 
PAYAO,  6.943 ,  4.846 ,  1.948 ,  3 ,  -   ,  13 ,  121 ,  7 ,  5 ,  -   
ROSELLER LIM,  10.513 ,  7.153 ,  3.019 ,  4 ,  -   ,  44 ,  246 ,  28 ,  19 ,  -   
SIAY,  9.215 ,  6.454 ,  2.583 ,  17 ,  3 ,  11 ,  105 ,  22 ,  20 ,  -   
TALUSAN,  5.191 ,  3.942 ,  1.032 ,  126 ,  3 ,  33 ,  41 ,  10 ,  4 ,  -   
TITAY,  11.138 ,  7.724 ,  3.059 ,  185 ,  -   ,  38 ,  86 ,  21 ,  23 ,  2 
TUNGAWAN,  9.487 ,  6.648 ,  2.338 ,  59 ,  1 ,  183 ,  239 ,  4 ,  15 ,  -   
CITY OF ISABELA,  22.916 ,  19.961 ,  2.561 ,  24 ,  4 ,  47 ,  176 ,  94 ,  49 ,  -   
,,,,,,,,,,
REGION X - NORTHERN MINDANAO,  1.042.814 ,  855.628 ,  159.249 ,  1.277 ,  157 ,  6.259 ,  15.974 ,  2.705 ,  1.565 ,  -   
BUKIDNON,  308.727 ,  218.713 ,  77.498 ,  642 ,  31 ,  2.039 ,  7.909 ,  1.175 ,  720 ,  -   
BAUNGON,  7.598 ,  4.810 ,  2.551 ,  98 ,  -   ,  24 ,  97 ,  11 ,  7 ,  -   
DAMULOG,  6.783 ,  2.927 ,  2.660 ,  10 ,  -   ,  163 ,  1.002 ,  16 ,  5 ,  -   
DANGCAGAN,  5.168 ,  3.776 ,  1.242 ,  -   ,  -   ,  30 ,  100 ,  19 ,  1 ,  -   
DON CARLOS,  14.399 ,  11.605 ,  2.520 ,  31 ,  2 ,  15 ,  208 ,  13 ,  5 ,  -   
IMPASUG-ONG,  9.858 ,  5.829 ,  3.457 ,  2 ,  2 ,  43 ,  335 ,  88 ,  102 ,  -   
