City/Municipality,Number of Households*,Own use faucet community water system,Shared faucet community water system,Own use tubed/piped deep well,Shared tubed/piped deep well,Tubed/piped shallow well,Dug well,Protected spring,Unprotected spring,Lake river rain and others,Peddler,Bottled water,Others,Not Reported
LA UNION,  180.675 ,  22.142 ,  8.335 ,  49.498 ,  47.480 ,  10.275 ,  8.418 ,  19.572 ,  2.813 ,  110 ,  2.008 ,  9.922 ,  102 ,  -   
AGOO,  13.850 ,  371 ,  707 ,  4.243 ,  4.515 ,  375 ,  982 ,  724 ,  5 ,  13 ,  1.057 ,  847 ,  11 ,  -   
ARINGAY,  10.817 ,  555 ,  375 ,  3.730 ,  3.758 ,  20 ,  275 ,  1.293 ,  178 ,  -   ,  126 ,  507 ,  -   ,  -   
BACNOTAN,  9.963 ,  830 ,  284 ,  4.301 ,  2.647 ,  562 ,  345 ,  468 ,  138 ,  1 ,  1 ,  386 ,  -   ,  -   
BAGULIN,  2.978 ,  313 ,  10 ,  7 ,  16 ,  141 ,  2 ,  1.213 ,  1.269 ,  2 ,  -   ,  5 ,  -   ,  -   
BALAOAN,  8.963 ,  1.795 ,  278 ,  4.017 ,  2.169 ,  57 ,  17 ,  509 ,  4 ,  7 ,  -   ,  109 ,  1 ,  -   
BANGAR,  8.078 ,  199 ,  8 ,  936 ,  788 ,  6.009 ,  17 ,  35 ,  -   ,  -   ,  -   ,  85 ,  1 ,  -   
BAUANG,  17.254 ,  3.107 ,  988 ,  4.484 ,  3.930 ,  520 ,  2.497 ,  729 ,  2 ,  -   ,  3 ,  966 ,  28 ,  -   
BURGOS,  1.750 ,  6 ,  4 ,  3 ,  3 ,  5 ,  16 ,  1.573 ,  111 ,  18 ,  -   ,  11 ,  -   ,  -   
CABA,  5.227 ,  119 ,  28 ,  2.128 ,  1.904 ,  28 ,  101 ,  757 ,  10 ,  -   ,  1 ,  151 ,  -   ,  -   
LUNA,  8.490 ,  525 ,  482 ,  4.214 ,  2.452 ,  83 ,  344 ,  257 ,  -   ,  -   ,  1 ,  131 ,  1 ,  -   
NAGUILIAN,  12.161 ,  3.455 ,  357 ,  2.638 ,  2.279 ,  542 ,  476 ,  2.189 ,  13 ,  1 ,  -   ,  207 ,  4 ,  -   
PUGO,  4.811 ,  1.940 ,  773 ,  897 ,  858 ,  25 ,  -   ,  241 ,  42 ,  8 ,  -   ,  27 ,  -   ,  -   
ROSARIO,  13.171 ,  2.338 ,  1.344 ,  1.929 ,  4.638 ,  240 ,  418 ,  1.927 ,  11 ,  17 ,  68 ,  236 ,  5 ,  -   
CITY OF SAN FERNANDO (Capital),  28.505 ,  3.748 ,  558 ,  6.861 ,  6.327 ,  1.238 ,  2.045 ,  2.081 ,  98 ,  13 ,  274 ,  5.249 ,  13 ,  -   
SAN GABRIEL,  3.907 ,  107 ,  192 ,  617 ,  504 ,  35 ,  253 ,  1.630 ,  512 ,  22 ,  -   ,  26 ,  9 ,  -   
SAN JUAN,  8.714 ,  1.091 ,  320 ,  3.028 ,  2.876 ,  35 ,  203 ,  665 ,  118 ,  -   ,  1 ,  375 ,  2 ,  -   
SANTO TOMAS,  8.996 ,  546 ,  1.000 ,  1.897 ,  3.864 ,  265 ,  235 ,  235 ,  5 ,  -   ,  468 ,  479 ,  2 ,  -   
SANTOL,  2.789 ,  427 ,  46 ,  438 ,  359 ,  4 ,  133 ,  1.232 ,  133 ,  4 ,  5 ,  8 ,  -   ,  -   
SUDIPEN,  3.810 ,  434 ,  446 ,  982 ,  1.117 ,  78 ,  13 ,  576 ,  138 ,  2 ,  1 ,  22 ,  1 ,  -   
TUBAO,  6.441 ,  236 ,  135 ,  2.148 ,  2.476 ,  13 ,  46 ,  1.238 ,  26 ,  2 ,  2 ,  95 ,  24 ,  -   
PANGASINAN,  674.575 ,  185.908 ,  40.356 ,  179.280 ,  210.206 ,  20.698 ,  17.681 ,  6.656 ,  1.085 ,  200 ,  1.018 ,  11.134 ,  353 ,  -   
AGNO,  6.624 ,  411 ,  105 ,  1.432 ,  1.231 ,  60 ,  2.977 ,  257 ,  54 ,  14 ,  -   ,  82 ,  1 ,  -   
AGUILAR,  8.777 ,  627 ,  403 ,  3.187 ,  3.274 ,  1.009 ,  13 ,  130 ,  1 ,  3 ,  2 ,  126 ,  2 ,  -   
CITY OF ALAMINOS,  21.576 ,  12.054 ,  3.135 ,  2.395 ,  3.002 ,  563 ,  112 ,  17 ,  5 ,  14 ,  2 ,  215 ,  62 ,  -   
ALCALA,  10.174 ,  2.900 ,  349 ,  2.813 ,  3.977 ,  79 ,  -   ,  1 ,  2 ,  -   ,  -   ,  50 ,  3 ,  -   
ANDA,  9.376 ,  2.322 ,  516 ,  694 ,  2.193 ,  844 ,  2.628 ,  3 ,  1 ,  2 ,  79 ,  90 ,  4 ,  -   
ASINGAN,  13.623 ,  5.197 ,  879 ,  4.489 ,  2.917 ,  8 ,  7 ,  19 ,  -   ,  -   ,  6 ,  97 ,  4 ,  -   
BALUNGAO,  7.606 ,  1.955 ,  347 ,  2.640 ,  2.543 ,  5 ,  22 ,  2 ,  2 ,  -   ,  1 ,  87 ,  2 ,  -   
BANI,  12.337 ,  4.079 ,  1.603 ,  890 ,  1.662 ,  455 ,  3.146 ,  222 ,  1 ,  26 ,  7 ,  246 ,  -   ,  -   
BASISTA,  6.904 ,  1.875 ,  767 ,  2.444 ,  1.528 ,  117 ,  9 ,  5 ,  -   ,  -   ,  1 ,  157 ,  1 ,  -   
BAUTISTA,  6.892 ,  596 ,  79 ,  2.608 ,  3.550 ,  1 ,  -   ,  1 ,  1 ,  -   ,  10 ,  44 ,  2 ,  -   
BAYAMBANG,  25.596 ,  6.530 ,  1.952 ,  6.332 ,  8.848 ,  1.402 ,  7 ,  2 ,  2 ,  1 ,  44 ,  474 ,  2 ,  -   
BINALONAN,  12.849 ,  3.265 ,  328 ,  4.973 ,  3.873 ,  89 ,  10 ,  171 ,  1 ,  1 ,  3 ,  115 ,  20 ,  -   
BINMALEY,  20.160 ,  11.852 ,  3.276 ,  2.088 ,  2.471 ,  14 ,  13 ,  6 ,  2 ,  -   ,  9 ,  429 ,  -   ,  -   
BOLINAO,  17.681 ,  3.693 ,  1.558 ,  2.029 ,  5.821 ,  971 ,  3.071 ,  230 ,  21 ,  30 ,  102 ,  136 ,  19 ,  -   
BUGALLON,  14.587 ,  2.972 ,  803 ,  5.748 ,  4.611 ,  74 ,  35 ,  99 ,  3 ,  1 ,  20 ,  217 ,  4 ,  -   
BURGOS,  4.800 ,  630 ,  145 ,  1.567 ,  1.587 ,  8 ,  804 ,  5 ,  12 ,  -   ,  -   ,  42 ,  -   ,  -   
CALASIAO,  22.542 ,  4.716 ,  861 ,  4.805 ,  11.322 ,  142 ,  225 ,  -   ,  6 ,  -   ,  5 ,  419 ,  41 ,  -   
DAGUPAN CITY,  38.168 ,  23.557 ,  5.706 ,  2.905 ,  4.142 ,  280 ,  67 ,  4 ,  -   ,  -   ,  433 ,  1.044 ,  30 ,  -   
DASOL,  6.785 ,  1.230 ,  302 ,  1.496 ,  2.989 ,  34 ,  644 ,  13 ,  4 ,  15 ,  -   ,  53 ,  5 ,  -   
INFANTA,  5.621 ,  1.242 ,  1.446 ,  915 ,  1.207 ,  130 ,  221 ,  164 ,  227 ,  11 ,  -   ,  58 ,  -   ,  -   
LABRADOR,  5.480 ,  181 ,  33 ,  2.884 ,  2.082 ,  1 ,  4 ,  57 ,  6 ,  -   ,  -   ,  231 ,  1 ,  -   
LINGAYEN (Capital),  21.780 ,  4.572 ,  1.096 ,  7.540 ,  6.276 ,  493 ,  65 ,  3 ,  1 ,  3 ,  8 ,  1.721 ,  2 ,  -   
MABINI,  5.917 ,  1.797 ,  700 ,  542 ,  1.598 ,  324 ,  529 ,  258 ,  92 ,  40 ,  23 ,  14 ,  -   ,  -   
MALASIQUI,  29.047 ,  3.134 ,  553 ,  9.688 ,  12.759 ,  2.368 ,  10 ,  8 ,  3 ,  1 ,  1 ,  512 ,  10 ,  -   
MANAOAG,  14.939 ,  5.490 ,  819 ,  3.513 ,  4.233 ,  737 ,  -   ,  9 ,  1 ,  -   ,  1 ,  129 ,  7 ,  -   
MANGALDAN,  23.437 ,  11.436 ,  1.078 ,  2.466 ,  7.920 ,  136 ,  194 ,  8 ,  -   ,  -   ,  -   ,  195 ,  4 ,  -   
MANGATAREM,  16.554 ,  1.555 ,  514 ,  8.445 ,  5.676 ,  93 ,  15 ,  27 ,  24 ,  3 ,  -   ,  196 ,  6 ,  -   
MAPANDAN,  8.667 ,  4.617 ,  263 ,  1.574 ,  1.483 ,  214 ,  201 ,  -   ,  -   ,  -   ,  -   ,  315 ,  -   ,  -   
NATIVIDAD,  5.794 ,  806 ,  336 ,  2.164 ,  1.519 ,  230 ,  4 ,  645 ,  4 ,  -   ,  33 ,  48 ,  5 ,  -   
POZORRUBIO,  16.856 ,  5.292 ,  1.231 ,  5.317 ,  4.026 ,  185 ,  476 ,  78 ,  4 ,  1 ,  17 ,  212 ,  17 ,  -   
ROSALES,  14.576 ,  7.607 ,  1.394 ,  2.098 ,  2.823 ,  542 ,  11 ,  1 ,  1 ,  -   ,  2 ,  96 ,  1 ,  -   
SAN CARLOS CITY,  42.049 ,  9.493 ,  1.365 ,  17.026 ,  10.567 ,  2.438 ,  26 ,  5 ,  5 ,  2 ,  10 ,  1.087 ,  25 ,  -   
SAN FABIAN,  19.886 ,  1.047 ,  409 ,  5.456 ,  10.325 ,  1.200 ,  864 ,  331 ,  37 ,  -   ,  -   ,  212 ,  5 ,  -   
SAN JACINTO,  9.211 ,  2.315 ,  358 ,  2.015 ,  4.394 ,  24 ,  8 ,  -   ,  1 ,  -   ,  -   ,  95 ,  1 ,  -   
SAN MANUEL,  12.552 ,  3.025 ,  714 ,  3.617 ,  4.027 ,  127 ,  10 ,  973 ,  28 ,  2 ,  1 ,  27 ,  1 ,  -   
SAN NICOLAS,  8.277 ,  2.326 ,  210 ,  1.913 ,  2.754 ,  11 ,  40 ,  852 ,  108 ,  6 ,  45 ,  11 ,  1 ,  -   
SAN QUINTIN,  8.584 ,  1.356 ,  110 ,  3.944 ,  2.736 ,  8 ,  7 ,  352 ,  30 ,  -   ,  3 ,  36 ,  2 ,  -   
SANTA BARBARA,  18.636 ,  3.360 ,  290 ,  4.125 ,  9.034 ,  1.287 ,  3 ,  27 ,  112 ,  1 ,  -   ,  390 ,  7 ,  -   
SANTA MARIA,  7.491 ,  3.006 ,  481 ,  2.598 ,  1.369 ,  6 ,  5 ,  -   ,  -   ,  -   ,  -   ,  24 ,  2 ,  -   
SANTO TOMAS,  3.374 ,  642 ,  287 ,  1.025 ,  1.334 ,  -   ,  -   ,  -   ,  -   ,  -   ,  1 ,  62 ,  23 ,  -   
SISON,  10.659 ,  796 ,  1.187 ,  2.561 ,  3.337 ,  10 ,  989 ,  1.366 ,  244 ,  5 ,  12 ,  152 ,  -   ,  -   
SUAL,  7.859 ,  525 ,  144 ,  2.370 ,  4.226 ,  165 ,  40 ,  182 ,  26 ,  14 ,  -   ,  165 ,  2 ,  -   
TAYUG,  10.039 ,  2.143 ,  523 ,  2.154 ,  1.334 ,  3.622 ,  20 ,  71 ,  1 ,  -   ,  4 ,  167 ,  -   ,  -   
UMINGAN,  17.261 ,  2.145 ,  359 ,  7.735 ,  6.802 ,  7 ,  11 ,  42 ,  1 ,  4 ,  2 ,  149 ,  4 ,  -   
URBIZTONDO,  10.618 ,  1.225 ,  403 ,  3.779 ,  4.992 ,  6 ,  -   ,  1 ,  -   ,  -   ,  59 ,  153 ,  -   ,  -   
CITY OF URDANETA,  30.294 ,  8.863 ,  421 ,  9.489 ,  10.940 ,  39 ,  137 ,  5 ,  3 ,  -   ,  43 ,  342 ,  12 ,  -   
VILLASIS,  14.631 ,  5.001 ,  465 ,  3.017 ,  5.888 ,  117 ,  -   ,  2 ,  8 ,  -   ,  29 ,  93 ,  11 ,  -   
LAOAC,  7.429 ,  450 ,  53 ,  3.775 ,  3.004 ,  23 ,  1 ,  2 ,  -   ,  -   ,  -   ,  119 ,  2 ,  -   
,,,,,,,,,,,,,,
REGION II - CAGAYAN VALLEY,  804.524 ,  144.741 ,  32.950 ,  207.318 ,  235.124 ,  57.880 ,  64.508 ,  31.059 ,  18.389 ,  2.657 ,  382 ,  8.690 ,  826 ,  -   
BATANES,  4.761 ,  3.664 ,  983 ,  6 ,  20 ,  1 ,  -   ,  16 ,  12 ,  16 ,  16 ,  25 ,  2 ,  -   
BASCO (Capital),  2.327 ,  1.446 ,  814 ,  4 ,  12 ,  -   ,  -   ,  -   ,  -   ,  10 ,  16 ,  23 ,  2 ,  -   
ITBAYAT,  831 ,  781 ,  23 ,  -   ,  -   ,  -   ,  -   ,  8 ,  12 ,  6 ,  -   ,  1 ,  -   ,  -   
IVANA,  371 ,  243 ,  122 ,  1 ,  4 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  1 ,  -   ,  -   
MAHATAO,  443 ,  435 ,  8 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
SABTANG,  431 ,  404 ,  13 ,  1 ,  4 ,  1 ,  -   ,  8 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
UYUGAN,  358 ,  355 ,  3 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
CAGAYAN,  271.967 ,  60.764 ,  10.172 ,  73.845 ,  76.556 ,  11.985 ,  29.461 ,  3.781 ,  955 ,  1.447 ,  224 ,  2.776 ,  1 ,  -   
ABULUG,  7.405 ,  632 ,  273 ,  2.274 ,  1.987 ,  236 ,  1.929 ,  -   ,  1 ,  -   ,  -   ,  73 ,  -   ,  -   
ALCALA,  9.248 ,  994 ,  221 ,  2.101 ,  4.714 ,  33 ,  1.147 ,  8 ,  1 ,  5 ,  -   ,  24 ,  -   ,  -   
ALLACAPAN,  7.767 ,  86 ,  30 ,  2.830 ,  2.493 ,  27 ,  2.051 ,  11 ,  4 ,  18 ,  -   ,  217 ,  -   ,  -   
AMULUNG,  10.697 ,  837 ,  139 ,  2.666 ,  6.853 ,  9 ,  148 ,  -   ,  4 ,  1 ,  -   ,  40 ,  -   ,  -   
APARRI,  13.978 ,  1.920 ,  871 ,  2.793 ,  3.974 ,  376 ,  2.870 ,  258 ,  3 ,  306 ,  -   ,  607 ,  -   ,  -   
BAGGAO,  19.630 ,  328 ,  126 ,  9.065 ,  8.727 ,  594 ,  104 ,  228 ,  335 ,  104 ,  -   ,  19 ,  -   ,  -   
BALLESTEROS,  8.350 ,  443 ,  50 ,  3.535 ,  2.709 ,  136 ,  1.409 ,  5 ,  2 ,  -   ,  -   ,  61 ,  -   ,  -   
BUGUEY,  6.754 ,  65 ,  19 ,  600 ,  621 ,  3.875 ,  927 ,  30 ,  2 ,  374 ,  137 ,  104 ,  -   ,  -   
CALAYAN,  3.904 ,  1.515 ,  443 ,  633 ,  516 ,  16 ,  212 ,  377 ,  150 ,  42 ,  -   ,  -   ,  -   ,  -   
CAMALANIUGAN,  5.482 ,  57 ,  77 ,  1.338 ,  2.340 ,  487 ,  785 ,  3 ,  2 ,  77 ,  -   ,  316 ,  -   ,  -   
CLAVERIA,  7.258 ,  1.253 ,  233 ,  2.178 ,  1.409 ,  323 ,  1.337 ,  443 ,  14 ,  2 ,  17 ,  49 ,  -   ,  -   
ENRILE,  7.543 ,  3.850 ,  341 ,  1.124 ,  1.328 ,  25 ,  579 ,  265 ,  -   ,  -   ,  -   ,  31 ,  -   ,  -   
GATTARAN,  12.874 ,  474 ,  230 ,  5.668 ,  5.228 ,  125 ,  636 ,  334 ,  4 ,  128 ,  -   ,  47 ,  -   ,  -   
GONZAGA,  8.603 ,  2.023 ,  491 ,  1.887 ,  862 ,  203 ,  2.918 ,  139 ,  40 ,  6 ,  -   ,  34 ,  -   ,  -   
IGUIG,  6.179 ,  1.545 ,  123 ,  1.083 ,  1.110 ,  1.672 ,  431 ,  -   ,  3 ,  1 ,  30 ,  181 ,  -   ,  -   
LAL-LO,  10.271 ,  1.459 ,  183 ,  2.067 ,  3.451 ,  1.454 ,  1.265 ,  195 ,  22 ,  6 ,  -   ,  169 ,  -   ,  -   
LASAM,  9.026 ,  541 ,  568 ,  4.338 ,  2.817 ,  92 ,  469 ,  54 ,  3 ,  56 ,  5 ,  83 ,  -   ,  -   
PAMPLONA,  5.248 ,  91 ,  12 ,  1.468 ,  1.205 ,  245 ,  2.095 ,  35 ,  5 ,  3 ,  -   ,  89 ,  -   ,  -   
PEÑABLANCA,  10.739 ,  3.005 ,  1.031 ,  2.562 ,  3.340 ,  6 ,  253 ,  417 ,  56 ,  45 ,  17 ,  7 ,  -   ,  -   
PIAT,  5.525 ,  3.287 ,  460 ,  1.053 ,  620 ,  28 ,  67 ,  2 ,  5 ,  -   ,  -   ,  3 ,  -   ,  -   
RIZAL,  4.043 ,  104 ,  384 ,  1.445 ,  1.699 ,  2 ,  232 ,  158 ,  11 ,  3 ,  -   ,  5 ,  -   ,  -   
SANCHEZ-MIRA,  5.625 ,  572 ,  207 ,  3.405 ,  1.129 ,  26 ,  172 ,  91 ,  -   ,  3 ,  -   ,  20 ,  -   ,  -   
SANTA ANA,  7.821 ,  416 ,  180 ,  2.513 ,  2.216 ,  654 ,  1.626 ,  55 ,  43 ,  71 ,  9 ,  38 ,  -   ,  -   
SANTA PRAXEDES,  980 ,  494 ,  2 ,  17 ,  81 ,  21 ,  19 ,  299 ,  39 ,  8 ,  -   ,  -   ,  -   ,  -   
SANTA TERESITA,  4.283 ,  149 ,  69 ,  1.525 ,  1.753 ,  76 ,  467 ,  90 ,  26 ,  104 ,  -   ,  23 ,  1 ,  -   
SANTO NIÑO (FAIRE),  6.641 ,  313 ,  81 ,  631 ,  1.701 ,  149 ,  3.369 ,  120 ,  170 ,  58 ,  5 ,  44 ,  -   ,  -   
SOLANA,  19.012 ,  4.942 ,  1.101 ,  4.018 ,  7.086 ,  568 ,  1.055 ,  154 ,  9 ,  18 ,  4 ,  57 ,  -   ,  -   
TUAO,  13.557 ,  1.766 ,  296 ,  7.214 ,  3.677 ,  452 ,  137 ,  4 ,  1 ,  -   ,  -   ,  10 ,  -   ,  -   
TUGUEGARAO CITY (Capital),  33.524 ,  27.603 ,  1.931 ,  1.814 ,  910 ,  75 ,  752 ,  6 ,  -   ,  8 ,  -   ,  425 ,  -   ,  -   
ISABELA,  372.950 ,  62.617 ,  13.203 ,  112.058 ,  129.072 ,  12.010 ,  33.426 ,  4.058 ,  1.428 ,  635 ,  112 ,  3.918 ,  413 ,  -   
ALICIA,  17.864 ,  2.599 ,  443 ,  4.499 ,  3.498 ,  6.602 ,  44 ,  13 ,  4 ,  -   ,  1 ,  125 ,  36 ,  -   
ANGADANAN,  9.906 ,  797 ,  631 ,  1.669 ,  3.687 ,  168 ,  2.799 ,  114 ,  5 ,  6 ,  -   ,  29 ,  1 ,  -   
AURORA,  8.476 ,  2.524 ,  363 ,  3.557 ,  1.554 ,  283 ,  4 ,  -   ,  -   ,  -   ,  2 ,  180 ,  9 ,  -   
BENITO SOLIVEN,  6.941 ,  456 ,  160 ,  1.086 ,  4.241 ,  10 ,  378 ,  235 ,  239 ,  13 ,  10 ,  111 ,  2 ,  -   
BURGOS,  5.744 ,  118 ,  29 ,  2.541 ,  2.198 ,  599 ,  166 ,  27 ,  49 ,  -   ,  -   ,  8 ,  9 ,  -   
CABAGAN,  10.162 ,  2.754 ,  348 ,  1.005 ,  2.285 ,  32 ,  3.304 ,  21 ,  236 ,  147 ,  1 ,  23 ,  6 ,  -   
CABATUAN,  9.674 ,  2.553 ,  293 ,  4.527 ,  2.071 ,  93 ,  9 ,  1 ,  1 ,  -   ,  -   ,  67 ,  59 ,  -   
CITY OF CAUAYAN,  30.623 ,  8.906 ,  1.240 ,  8.487 ,  8.400 ,  1.627 ,  1.585 ,  98 ,  7 ,  -   ,  38 ,  227 ,  8 ,  -   
CORDON,  10.353 ,  831 ,  468 ,  3.684 ,  4.725 ,  312 ,  22 ,  210 ,  5 ,  1 ,  1 ,  91 ,  3 ,  -   
DINAPIGUE,  1.231 ,  5 ,  1 ,  377 ,  555 ,  97 ,  17 ,  157 ,  2 ,  20 ,  -   ,  -   ,  -   ,  -   
DIVILACAN,  1.310 ,  13 ,  5 ,  306 ,  527 ,  73 ,  134 ,  2 ,  152 ,  95 ,  -   ,  -   ,  3 ,  -   
ECHAGUE,  18.874 ,  1.337 ,  377 ,  7.257 ,  8.243 ,  122 ,  1.289 ,  59 ,  33 ,  -   ,  -   ,  155 ,  2 ,  -   
GAMU,  6.791 ,  1.809 ,  540 ,  1.661 ,  1.915 ,  17 ,  621 ,  9 ,  1 ,  2 ,  -   ,  154 ,  62 ,  -   
ILAGAN City (Capital),  34.669 ,  5.458 ,  965 ,  5.864 ,  11.526 ,  228 ,  8.755 ,  439 ,  143 ,  60 ,  34 ,  1.180 ,  17 ,  -   
JONES,  10.650 ,  1.367 ,  659 ,  4.255 ,  3.804 ,  12 ,  200 ,  238 ,  69 ,  4 ,  -   ,  40 ,  2 ,  -   
LUNA,  4.646 ,  961 ,  50 ,  2.361 ,  1.206 ,  -   ,  4 ,  -   ,  -   ,  -   ,  -   ,  64 ,  -   ,  -   
MACONACON,  977 ,  16 ,  8 ,  334 ,  439 ,  -   ,  21 ,  60 ,  5 ,  94 ,  -   ,  -   ,  -   ,  -   
DELFIN ALBANO (MAGSAYSAY),  6.637 ,  1.808 ,  349 ,  142 ,  193 ,  292 ,  3.752 ,  1 ,  1 ,  -   ,  1 ,  25 ,  73 ,  -   
MALLIG,  7.591 ,  334 ,  1.134 ,  3.009 ,  2.909 ,  173 ,  11 ,  -   ,  2 ,  -   ,  1 ,  18 ,  -   ,  -   
NAGUILIAN,  7.413 ,  1.337 ,  151 ,  1.263 ,  4.515 ,  12 ,  49 ,  8 ,  5 ,  -   ,  -   ,  72 ,  1 ,  -   
PALANAN,  3.826 ,  220 ,  29 ,  330 ,  722 ,  61 ,  2.148 ,  269 ,  18 ,  28 ,  1 ,  -   ,  -   ,  -   
QUEZON,  5.874 ,  1.995 ,  452 ,  1.285 ,  1.887 ,  25 ,  7 ,  216 ,  1 ,  -   ,  -   ,  6 ,  -   ,  -   
QUIRINO,  6.333 ,  489 ,  90 ,  1.748 ,  3.498 ,  109 ,  394 ,  2 ,  -   ,  -   ,  -   ,  3 ,  -   ,  -   
RAMON,  13.347 ,  1.175 ,  292 ,  6.899 ,  4.616 ,  121 ,  14 ,  40 ,  2 ,  -   ,  -   ,  185 ,  3 ,  -   
REINA MERCEDES,  6.270 ,  1.738 ,  138 ,  1.373 ,  2.368 ,  20 ,  596 ,  1 ,  -   ,  -   ,  7 ,  29 ,  -   ,  -   
ROXAS,  14.226 ,  1.770 ,  682 ,  5.437 ,  4.221 ,  130 ,  1.047 ,  842 ,  3 ,  -   ,  -   ,  39 ,  55 ,  -   
SAN AGUSTIN,  5.626 ,  170 ,  39 ,  3.819 ,  1.508 ,  4 ,  43 ,  26 ,  11 ,  3 ,  -   ,  3 ,  -   ,  -   
SAN GUILLERMO,  4.601 ,  882 ,  213 ,  773 ,  2.067 ,  175 ,  385 ,  42 ,  9 ,  2 ,  -   ,  8 ,  45 ,  -   
SAN ISIDRO,  5.831 ,  176 ,  19 ,  3.673 ,  1.940 ,  2 ,  1 ,  -   ,  -   ,  -   ,  -   ,  20 ,  -   ,  -   
SAN MANUEL,  7.613 ,  2.019 ,  573 ,  1.768 ,  3.078 ,  64 ,  42 ,  30 ,  -   ,  8 ,  2 ,  27 ,  2 ,  -   
SAN MARIANO,  12.220 ,  309 ,  259 ,  1.820 ,  7.962 ,  8 ,  667 ,  738 ,  368 ,  53 ,  7 ,  29 ,  -   ,  -   
SAN MATEO,  15.664 ,  2.010 ,  101 ,  9.506 ,  3.737 ,  205 ,  5 ,  7 ,  -   ,  -   ,  -   ,  93 ,  -   ,  -   
SAN PABLO,  5.134 ,  599 ,  212 ,  538 ,  1.315 ,  54 ,  2.278 ,  5 ,  31 ,  82 ,  1 ,  19 ,  -   ,  -   
SANTA MARIA,  4.860 ,  251 ,  40 ,  954 ,  1.290 ,  6 ,  2.202 ,  107 ,  -   ,  -   ,  -   ,  5 ,  5 ,  -   
CITY OF SANTIAGO,  30.472 ,  9.314 ,  1.255 ,  8.362 ,  10.580 ,  49 ,  33 ,  10 ,  4 ,  1 ,  5 ,  856 ,  3 ,  -   
SANTO TOMAS,  4.980 ,  163 ,  13 ,  2.088 ,  2.552 ,  123 ,  30 ,  -   ,  -   ,  -   ,  -   ,  9 ,  2 ,  -   
TUMAUINI,  15.541 ,  3.354 ,  582 ,  3.801 ,  7.240 ,  102 ,  370 ,  31 ,  22 ,  16 ,  -   ,  18 ,  5 ,  -   
NUEVA VIZCAYA,  111.340 ,  14.792 ,  5.500 ,  12.964 ,  15.731 ,  27.478 ,  1.142 ,  17.301 ,  13.972 ,  531 ,  20 ,  1.581 ,  328 ,  -   
AMBAGUIO,  3.536 ,  517 ,  567 ,  14 ,  14 ,  18 ,  1 ,  148 ,  2.257 ,  -   ,  -   ,  -   ,  -   ,  -   
ARITAO,  8.562 ,  894 ,  485 ,  957 ,  1.972 ,  1.350 ,  95 ,  1.764 ,  974 ,  12 ,  1 ,  56 ,  2 ,  -   
BAGABAG,  8.910 ,  1.175 ,  271 ,  3.173 ,  2.873 ,  1.064 ,  16 ,  211 ,  4 ,  -   ,  1 ,  122 ,  -   ,  -   
BAMBANG,  13.459 ,  1.708 ,  312 ,  3.115 ,  2.941 ,  2.875 ,  28 ,  1.682 ,  478 ,  56 ,  7 ,  250 ,  7 ,  -   
BAYOMBONG (Capital),  15.761 ,  4.122 ,  736 ,  1.030 ,  325 ,  6.881 ,  91 ,  1.529 ,  596 ,  7 ,  2 ,  423 ,  19 ,  -   
DIADI,  4.441 ,  231 ,  138 ,  419 ,  1.313 ,  1.085 ,  140 ,  687 ,  334 ,  46 ,  -   ,  46 ,  2 ,  -   
DUPAX DEL NORTE,  6.646 ,  441 ,  271 ,  1.427 ,  1.669 ,  271 ,  13 ,  1.448 ,  1.026 ,  9 ,  -   ,  66 ,  5 ,  -   
DUPAX DEL SUR,  4.531 ,  553 ,  226 ,  239 ,  903 ,  192 ,  157 ,  1.612 ,  416 ,  4 ,  -   ,  42 ,  187 ,  -   
KASIBU,  8.448 ,  932 ,  1.021 ,  397 ,  323 ,  430 ,  170 ,  2.065 ,  2.952 ,  45 ,  5 ,  107 ,  1 ,  -   
KAYAPA,  5.544 ,  27 ,  1 ,  6 ,  50 ,  15 ,  186 ,  2.997 ,  2.252 ,  6 ,  -   ,  -   ,  4 ,  -   
QUEZON,  4.991 ,  161 ,  457 ,  727 ,  939 ,  590 ,  17 ,  991 ,  808 ,  243 ,  -   ,  54 ,  4 ,  -   
SANTA FE,  3.758 ,  1.483 ,  507 ,  71 ,  99 ,  22 ,  5 ,  653 ,  897 ,  1 ,  -   ,  20 ,  -   ,  -   
SOLANO,  16.514 ,  2.205 ,  350 ,  1.078 ,  1.984 ,  9.812 ,  191 ,  356 ,  108 ,  48 ,  2 ,  377 ,  3 ,  -   
VILLAVERDE,  4.452 ,  113 ,  76 ,  280 ,  288 ,  2.856 ,  2 ,  707 ,  100 ,  -   ,  2 ,  16 ,  12 ,  -   
ALFONSO CASTANEDA,  1.787 ,  230 ,  82 ,  31 ,  38 ,  17 ,  30 ,  451 ,  770 ,  54 ,  -   ,  2 ,  82 ,  -   
QUIRINO,  43.506 ,  2.904 ,  3.092 ,  8.445 ,  13.745 ,  6.406 ,  479 ,  5.903 ,  2.022 ,  28 ,  10 ,  390 ,  82 ,  -   
