Tenure Status of the Housing Unit and Lot and City/Municipality, Number of Households* , Single house , Duplex , Multi-unit residential , Commercial/ industrial/ agricultural , Institutional living quarter , Others , Not Reported 
Own house rent-free lot with consent of owner,  2.555 ,  2.511 ,  37 ,  4 ,  1 ,  -   ,  -   ,  2 
Own house rent-free lot without consent of owner,  31 ,  31 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  657 ,  614 ,  41 ,  2 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  11 ,  10 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 BASISTA,,,,,,,,
Total,  6.904 ,  6.449 ,  346 ,  103 ,  2 ,  -   ,  -   ,  4 
Own or owner like possession of house and lot,  6.231 ,  5.860 ,  279 ,  87 ,  1 ,  -   ,  -   ,  4 
Rent house/room including lot,  47 ,  45 ,  1 ,  -   ,  1 ,  -   ,  -   ,  -   
Own house rent lot,  17 ,  17 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  355 ,  323 ,  31 ,  1 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  6 ,  5 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  246 ,  197 ,  34 ,  15 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  2 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 BAUTISTA,,,,,,,,
Total,  6.892 ,  6.261 ,  463 ,  164 ,  1 ,  -   ,  -   ,  3 
Own or owner like possession of house and lot,  3.695 ,  3.391 ,  229 ,  74 ,  1 ,  -   ,  -   ,  -   
Rent house/room including lot,  57 ,  52 ,  5 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  202 ,  173 ,  18 ,  11 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  2.000 ,  1.848 ,  110 ,  40 ,  -   ,  -   ,  -   ,  2 
Own house rent-free lot without consent of owner,  606 ,  522 ,  63 ,  20 ,  -   ,  -   ,  -   ,  1 
Rent-free house and lot with consent of owner,  294 ,  248 ,  30 ,  16 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  38 ,  27 ,  8 ,  3 ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 BAYAMBANG,,,,,,,,
Total,  25.596 ,  23.633 ,  1.520 ,  416 ,  18 ,  -   ,  1 ,  8 
Own or owner like possession of house and lot,  18.263 ,  16.982 ,  1.013 ,  253 ,  10 ,  -   ,  1 ,  4 
Rent house/room including lot,  283 ,  219 ,  25 ,  36 ,  3 ,  -   ,  -   ,  -   
Own house rent lot,  101 ,  92 ,  9 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  5.403 ,  5.066 ,  273 ,  61 ,  -   ,  -   ,  -   ,  3 
Own house rent-free lot without consent of owner,  130 ,  123 ,  3 ,  4 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  1.399 ,  1.137 ,  194 ,  62 ,  5 ,  -   ,  -   ,  1 
Rent-free house and lot without consent of owner,  17 ,  14 ,  3 ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 BINALONAN,,,,,,,,
Total,  12.849 ,  11.714 ,  768 ,  353 ,  9 ,  2 ,  1 ,  2 
Own or owner like possession of house and lot,  8.914 ,  8.303 ,  453 ,  153 ,  4 ,  1 ,  -   ,  -   
Rent house/room including lot,  461 ,  299 ,  54 ,  104 ,  3 ,  1 ,  -   ,  -   
Own house rent lot,  78 ,  76 ,  1 ,  -   ,  1 ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  2.035 ,  1.849 ,  137 ,  47 ,  -   ,  -   ,  -   ,  2 
Own house rent-free lot without consent of owner,  148 ,  126 ,  18 ,  4 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  1.200 ,  1.048 ,  105 ,  45 ,  1 ,  -   ,  1 ,  -   
Rent-free house and lot without consent of owner,  13 ,  13 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 BINMALEY,,,,,,,,
Total,  20.160 ,  18.932 ,  942 ,  266 ,  12 ,  -   ,  -   ,  8 
Own or owner like possession of house and lot,  12.486 ,  11.757 ,  586 ,  137 ,  3 ,  -   ,  -   ,  3 
Rent house/room including lot,  253 ,  214 ,  16 ,  21 ,  2 ,  -   ,  -   ,  -   
Own house rent lot,  237 ,  225 ,  9 ,  2 ,  -   ,  -   ,  -   ,  1 
Own house rent-free lot with consent of owner,  4.836 ,  4.599 ,  184 ,  45 ,  4 ,  -   ,  -   ,  4 
Own house rent-free lot without consent of owner,  515 ,  472 ,  32 ,  11 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  1.808 ,  1.644 ,  111 ,  50 ,  3 ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  25 ,  21 ,  4 ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 BOLINAO,,,,,,,,
Total,  17.681 ,  16.554 ,  789 ,  318 ,  9 ,  7 ,  -   ,  4 
Own or owner like possession of house and lot,  10.212 ,  9.745 ,  348 ,  114 ,  3 ,  2 ,  -   ,  -   
Rent house/room including lot,  519 ,  377 ,  68 ,  74 ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  331 ,  292 ,  27 ,  12 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  4.936 ,  4.677 ,  203 ,  51 ,  1 ,  1 ,  -   ,  3 
Own house rent-free lot without consent of owner,  428 ,  365 ,  43 ,  19 ,  -   ,  -   ,  -   ,  1 
Rent-free house and lot with consent of owner,  1.196 ,  1.049 ,  92 ,  46 ,  5 ,  4 ,  -   ,  -   
Rent-free house and lot without consent of owner,  59 ,  49 ,  8 ,  2 ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 BUGALLON,,,,,,,,
Total,  14.587 ,  13.719 ,  691 ,  162 ,  6 ,  -   ,  -   ,  9 
Own or owner like possession of house and lot,  9.990 ,  9.453 ,  423 ,  107 ,  3 ,  -   ,  -   ,  4 
Rent house/room including lot,  123 ,  97 ,  11 ,  13 ,  2 ,  -   ,  -   ,  -   
Own house rent lot,  43 ,  40 ,  -   ,  3 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  3.548 ,  3.341 ,  186 ,  17 ,  -   ,  -   ,  -   ,  4 
Own house rent-free lot without consent of owner,  37 ,  36 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  814 ,  726 ,  67 ,  20 ,  1 ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  32 ,  26 ,  3 ,  2 ,  -   ,  -   ,  -   ,  1 
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 BURGOS,,,,,,,,
Total,  4.800 ,  4.630 ,  133 ,  34 ,  -   ,  -   ,  -   ,  3 
Own or owner like possession of house and lot,  3.333 ,  3.231 ,  81 ,  19 ,  -   ,  -   ,  -   ,  2 
Rent house/room including lot,  66 ,  58 ,  6 ,  2 ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  54 ,  49 ,  5 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  1.168 ,  1.131 ,  31 ,  5 ,  -   ,  -   ,  -   ,  1 
Own house rent-free lot without consent of owner,  9 ,  9 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  169 ,  151 ,  10 ,  8 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  1 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 CALASIAO,,,,,,,,
Total,  22.542 ,  18.765 ,  2.504 ,  1.229 ,  17 ,  2 ,  -   ,  25 
Own or owner like possession of house and lot,  15.714 ,  13.463 ,  1.550 ,  683 ,  9 ,  1 ,  -   ,  8 
Rent house/room including lot,  906 ,  710 ,  107 ,  88 ,  1 ,  -   ,  -   ,  -   
Own house rent lot,  88 ,  76 ,  10 ,  2 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  3.595 ,  3.144 ,  318 ,  118 ,  2 ,  -   ,  -   ,  13 
Own house rent-free lot without consent of owner,  217 ,  174 ,  38 ,  5 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  1.984 ,  1.161 ,  481 ,  332 ,  5 ,  1 ,  -   ,  4 
Rent-free house and lot without consent of owner,  38 ,  37 ,  -   ,  1 ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 DAGUPAN CITY,,,,,,,,
Total,  38.168 ,  31.820 ,  3.260 ,  2.955 ,  106 ,  9 ,  7 ,  11 
Own or owner like possession of house and lot,  21.688 ,  19.044 ,  1.590 ,  1.002 ,  42 ,  4 ,  1 ,  5 
Rent house/room including lot,  3.608 ,  2.094 ,  404 ,  1.064 ,  42 ,  4 ,  -   ,  -   
Own house rent lot,  2.269 ,  1.839 ,  266 ,  162 ,  -   ,  -   ,  -   ,  2 
Own house rent-free lot with consent of owner,  6.837 ,  6.021 ,  500 ,  305 ,  4 ,  -   ,  4 ,  3 
Own house rent-free lot without consent of owner,  1.697 ,  1.258 ,  278 ,  159 ,  -   ,  -   ,  2 ,  -   
Rent-free house and lot with consent of owner,  2.021 ,  1.521 ,  219 ,  261 ,  18 ,  1 ,  -   ,  1 
Rent-free house and lot without consent of owner,  48 ,  43 ,  3 ,  2 ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 DASOL,,,,,,,,
Total,  6.785 ,  6.622 ,  133 ,  12 ,  2 ,  -   ,  -   ,  16 
Own or owner like possession of house and lot,  4.293 ,  4.200 ,  84 ,  2 ,  1 ,  -   ,  -   ,  6 
Rent house/room including lot,  98 ,  87 ,  4 ,  7 ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  38 ,  38 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  1.769 ,  1.732 ,  28 ,  1 ,  -   ,  -   ,  -   ,  8 
Own house rent-free lot without consent of owner,  44 ,  41 ,  1 ,  -   ,  -   ,  -   ,  -   ,  2 
Rent-free house and lot with consent of owner,  541 ,  522 ,  16 ,  2 ,  1 ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  2 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 INFANTA,,,,,,,,
Total,  5.621 ,  5.289 ,  260 ,  59 ,  5 ,  1 ,  -   ,  7 
Own or owner like possession of house and lot,  3.206 ,  3.060 ,  127 ,  13 ,  2 ,  1 ,  -   ,  3 
Rent house/room including lot,  127 ,  106 ,  13 ,  7 ,  1 ,  -   ,  -   ,  -   
Own house rent lot,  66 ,  63 ,  -   ,  2 ,  1 ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  1.777 ,  1.675 ,  68 ,  30 ,  -   ,  -   ,  -   ,  4 
Own house rent-free lot without consent of owner,  9 ,  9 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  433 ,  373 ,  52 ,  7 ,  1 ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  3 ,  3 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 LABRADOR,,,,,,,,
Total,  5.480 ,  4.700 ,  544 ,  223 ,  10 ,  1 ,  -   ,  2 
Own or owner like possession of house and lot,  3.564 ,  3.165 ,  302 ,  92 ,  5 ,  -   ,  -   ,  -   
Rent house/room including lot,  244 ,  191 ,  33 ,  17 ,  2 ,  -   ,  -   ,  1 
Own house rent lot,  44 ,  36 ,  4 ,  3 ,  1 ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  1.102 ,  954 ,  98 ,  49 ,  -   ,  -   ,  -   ,  1 
Own house rent-free lot without consent of owner,  30 ,  28 ,  1 ,  1 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  455 ,  291 ,  101 ,  60 ,  2 ,  1 ,  -   ,  -   
Rent-free house and lot without consent of owner,  41 ,  35 ,  5 ,  1 ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 LINGAYEN (Capital),,,,,,,,
Total,  21.780 ,  20.493 ,  885 ,  375 ,  13 ,  -   ,  1 ,  13 
Own or owner like possession of house and lot,  14.245 ,  13.531 ,  510 ,  190 ,  9 ,  -   ,  -   ,  5 
Rent house/room including lot,  499 ,  372 ,  36 ,  89 ,  2 ,  -   ,  -   ,  -   
Own house rent lot,  247 ,  232 ,  13 ,  2 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  5.152 ,  4.921 ,  176 ,  47 ,  -   ,  -   ,  -   ,  8 
Own house rent-free lot without consent of owner,  314 ,  303 ,  11 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  1.273 ,  1.090 ,  134 ,  46 ,  2 ,  -   ,  1 ,  -   
Rent-free house and lot without consent of owner,  50 ,  44 ,  5 ,  1 ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 MABINI,,,,,,,,
Total,  5.917 ,  5.741 ,  146 ,  28 ,  -   ,  -   ,  -   ,  2 
Own or owner like possession of house and lot,  3.536 ,  3.434 ,  86 ,  15 ,  -   ,  -   ,  -   ,  1 
Rent house/room including lot,  97 ,  88 ,  6 ,  3 ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  59 ,  59 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  1.750 ,  1.703 ,  43 ,  3 ,  -   ,  -   ,  -   ,  1 
Own house rent-free lot without consent of owner,  39 ,  39 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  421 ,  403 ,  11 ,  7 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  15 ,  15 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 MALASIQUI,,,,,,,,
Total,  29.047 ,  27.082 ,  1.453 ,  481 ,  17 ,  1 ,  1 ,  12 
Own or owner like possession of house and lot,  19.812 ,  18.675 ,  881 ,  240 ,  11 ,  -   ,  -   ,  5 
Rent house/room including lot,  412 ,  262 ,  42 ,  107 ,  1 ,  -   ,  -   ,  -   
Own house rent lot,  319 ,  304 ,  12 ,  3 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  6.340 ,  5.923 ,  339 ,  73 ,  -   ,  -   ,  1 ,  4 
Own house rent-free lot without consent of owner,  355 ,  334 ,  20 ,  -   ,  -   ,  -   ,  -   ,  1 
Rent-free house and lot with consent of owner,  1.738 ,  1.517 ,  156 ,  58 ,  4 ,  1 ,  -   ,  2 
Rent-free house and lot without consent of owner,  71 ,  67 ,  3 ,  -   ,  1 ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 MANAOAG,,,,,,,,
Total,  14.939 ,  14.026 ,  704 ,  196 ,  3 ,  -   ,  -   ,  10 
Own or owner like possession of house and lot,  11.187 ,  10.592 ,  482 ,  105 ,  1 ,  -   ,  -   ,  7 
Rent house/room including lot,  318 ,  255 ,  27 ,  36 ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  107 ,  93 ,  7 ,  7 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  2.597 ,  2.446 ,  117 ,  33 ,  1 ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  35 ,  31 ,  4 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  684 ,  598 ,  67 ,  15 ,  1 ,  -   ,  -   ,  3 
Rent-free house and lot without consent of owner,  11 ,  11 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 MANGALDAN,,,,,,,,
Total,  23.437 ,  20.999 ,  1.520 ,  896 ,  14 ,  1 ,  -   ,  7 
Own or owner like possession of house and lot,  18.336 ,  16.735 ,  1.095 ,  495 ,  6 ,  1 ,  -   ,  4 
Rent house/room including lot,  1.095 ,  729 ,  134 ,  230 ,  2 ,  -   ,  -   ,  -   
Own house rent lot,  248 ,  226 ,  19 ,  3 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  2.300 ,  2.073 ,  134 ,  92 ,  -   ,  -   ,  -   ,  1 
Own house rent-free lot without consent of owner,  144 ,  136 ,  5 ,  3 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  1.284 ,  1.073 ,  131 ,  73 ,  6 ,  -   ,  -   ,  1 
Rent-free house and lot without consent of owner,  30 ,  27 ,  2 ,  -   ,  -   ,  -   ,  -   ,  1 
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 MANGATAREM,,,,,,,,
Total,  16.554 ,  15.299 ,  872 ,  344 ,  13 ,  1 ,  2 ,  23 
Own or owner like possession of house and lot,  9.429 ,  8.823 ,  453 ,  140 ,  7 ,  1 ,  -   ,  5 
Rent house/room including lot,  383 ,  264 ,  46 ,  69 ,  3 ,  -   ,  1 ,  -   
Own house rent lot,  258 ,  221 ,  27 ,  10 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  5.198 ,  4.879 ,  233 ,  68 ,  1 ,  -   ,  -   ,  17 
Own house rent-free lot without consent of owner,  142 ,  134 ,  6 ,  2 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  1.108 ,  947 ,  102 ,  55 ,  2 ,  -   ,  1 ,  1 
Rent-free house and lot without consent of owner,  36 ,  31 ,  5 ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 MAPANDAN,,,,,,,,
Total,  8.667 ,  7.818 ,  664 ,  179 ,  6 ,  -   ,  -   ,  -   
Own or owner like possession of house and lot,  7.382 ,  6.687 ,  540 ,  154 ,  1 ,  -   ,  -   ,  -   
Rent house/room including lot,  99 ,  73 ,  15 ,  7 ,  4 ,  -   ,  -   ,  -   
Own house rent lot,  48 ,  43 ,  2 ,  2 ,  1 ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  621 ,  553 ,  61 ,  7 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  50 ,  50 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  459 ,  404 ,  46 ,  9 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot without consent of owner,  8 ,  8 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 NATIVIDAD,,,,,,,,
Total,  5.794 ,  5.637 ,  114 ,  30 ,  -   ,  -   ,  -   ,  13 
Own or owner like possession of house and lot,  4.569 ,  4.444 ,  89 ,  25 ,  -   ,  -   ,  -   ,  11 
Rent house/room including lot,  53 ,  49 ,  4 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent lot,  15 ,  15 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  694 ,  683 ,  9 ,  1 ,  -   ,  -   ,  -   ,  1 
Own house rent-free lot without consent of owner,  41 ,  40 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  411 ,  395 ,  11 ,  4 ,  -   ,  -   ,  -   ,  1 
Rent-free house and lot without consent of owner,  11 ,  11 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 POZORRUBIO,,,,,,,,
Total,  16.856 ,  15.556 ,  933 ,  320 ,  28 ,  -   ,  -   ,  19 
Own or owner like possession of house and lot,  11.110 ,  10.412 ,  540 ,  121 ,  19 ,  -   ,  -   ,  18 
Rent house/room including lot,  674 ,  484 ,  62 ,  123 ,  5 ,  -   ,  -   ,  -   
Own house rent lot,  162 ,  161 ,  -   ,  1 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  3.145 ,  2.952 ,  164 ,  29 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot without consent of owner,  84 ,  80 ,  3 ,  1 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  1.663 ,  1.450 ,  163 ,  45 ,  4 ,  -   ,  -   ,  1 
Rent-free house and lot without consent of owner,  18 ,  17 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 ROSALES,,,,,,,,
Total,  14.576 ,  13.019 ,  1.019 ,  510 ,  23 ,  4 ,  -   ,  1 
Own or owner like possession of house and lot,  8.669 ,  7.867 ,  563 ,  224 ,  13 ,  2 ,  -   ,  -   
Rent house/room including lot,  473 ,  295 ,  71 ,  103 ,  4 ,  -   ,  -   ,  -   
Own house rent lot,  213 ,  187 ,  19 ,  7 ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  3.841 ,  3.473 ,  264 ,  100 ,  3 ,  1 ,  -   ,  -   
Own house rent-free lot without consent of owner,  473 ,  418 ,  31 ,  23 ,  -   ,  -   ,  -   ,  1 
Rent-free house and lot with consent of owner,  890 ,  762 ,  71 ,  53 ,  3 ,  1 ,  -   ,  -   
Rent-free house and lot without consent of owner,  17 ,  17 ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 SAN CARLOS CITY,,,,,,,,
Total,  42.049 ,  39.040 ,  2.184 ,  647 ,  21 ,  114 ,  -   ,  43 
Own or owner like possession of house and lot,  33.387 ,  31.381 ,  1.574 ,  389 ,  11 ,  5 ,  -   ,  27 
Rent house/room including lot,  674 ,  460 ,  33 ,  66 ,  5 ,  108 ,  -   ,  2 
Own house rent lot,  280 ,  257 ,  19 ,  3 ,  -   ,  -   ,  -   ,  1 
Own house rent-free lot with consent of owner,  5.234 ,  4.892 ,  267 ,  63 ,  2 ,  -   ,  -   ,  10 
Own house rent-free lot without consent of owner,  175 ,  155 ,  16 ,  4 ,  -   ,  -   ,  -   ,  -   
Rent-free house and lot with consent of owner,  2.264 ,  1.862 ,  273 ,  122 ,  3 ,  1 ,  -   ,  3 
Rent-free house and lot without consent of owner,  35 ,  33 ,  2 ,  -   ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 SAN FABIAN,,,,,,,,
Total,  19.886 ,  18.347 ,  1.119 ,  396 ,  12 ,  1 ,  -   ,  11 
Own or owner like possession of house and lot,  12.755 ,  11.865 ,  692 ,  187 ,  7 ,  -   ,  -   ,  4 
Rent house/room including lot,  432 ,  349 ,  29 ,  51 ,  3 ,  -   ,  -   ,  -   
Own house rent lot,  226 ,  225 ,  1 ,  -   ,  -   ,  -   ,  -   ,  -   
Own house rent-free lot with consent of owner,  5.029 ,  4.705 ,  242 ,  74 ,  2 ,  -   ,  -   ,  6 
Own house rent-free lot without consent of owner,  166 ,  160 ,  5 ,  -   ,  -   ,  -   ,  -   ,  1 
Rent-free house and lot with consent of owner,  1.176 ,  957 ,  141 ,  77 ,  -   ,  1 ,  -   ,  -   
Rent-free house and lot without consent of owner,  102 ,  86 ,  9 ,  7 ,  -   ,  -   ,  -   ,  -   
Not Applicable,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
Not Reported,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   ,  -   
 SAN JACINTO,,,,,,,,
Total,  9.211 ,  8.509 ,  459 ,  239 ,  3 ,  -   ,  -   ,  1 
Own or owner like possession of house and lot,  6.907 ,  6.503 ,  307 ,  95 ,  1 ,  -   ,  -   ,  1 
Rent house/room including lot,  252 ,  193 ,  22 ,  36 ,  1 ,  -   ,  -   ,  -   
Own house rent lot,  85 ,  70 ,  8 ,  7 ,  -   ,  -   ,  -   ,  -   
