,city,region_name,bldg_type,province,Occupied Housing Units,Number of Households*,Household Population*,Average Household Size,Ratio of Households to Occupied Housing Units,Ratio of Household Population to Occupied Housing Units,year
209,LICUAN-BAAY (LICUAN),CAR - Cordillera Administrative Region,Not Reported, ABRA,,,,,,,2015
210,LUBA,CAR - Cordillera Administrative Region,Single house, ABRA,1327.0,1339.0,6202.0,4.63,1.01,4.67,2015
211,LUBA,CAR - Cordillera Administrative Region,Duplex, ABRA,27.0,27.0,114.0,4.22,1.0,4.22,2015
212,LUBA,CAR - Cordillera Administrative Region,Multi-unit residential, ABRA,3.0,3.0,12.0,4.0,1.0,4.0,2015
213,LUBA,CAR - Cordillera Administrative Region,Commercial/industrial/agricultural, ABRA,,,,,,,2015
214,LUBA,CAR - Cordillera Administrative Region,Institutional living quarter, ABRA,,,,,,,2015
215,LUBA,CAR - Cordillera Administrative Region,Others, ABRA,1.0,1.0,7.0,7.0,1.0,7.0,2015
216,LUBA,CAR - Cordillera Administrative Region,Not Reported, ABRA,,,,,,,2015
217,MALIBCONG,CAR - Cordillera Administrative Region,Single house, ABRA,713.0,716.0,3224.0,4.5,1.0,4.52,2015
218,MALIBCONG,CAR - Cordillera Administrative Region,Duplex, ABRA,27.0,27.0,146.0,5.41,1.0,5.41,2015
219,MALIBCONG,CAR - Cordillera Administrative Region,Multi-unit residential, ABRA,2.0,2.0,8.0,4.0,1.0,4.0,2015
220,MALIBCONG,CAR - Cordillera Administrative Region,Commercial/industrial/agricultural, ABRA,,,,,,,2015
221,MALIBCONG,CAR - Cordillera Administrative Region,Institutional living quarter, ABRA,1.0,1.0,2.0,2.0,1.0,2.0,2015
222,MALIBCONG,CAR - Cordillera Administrative Region,Others, ABRA,,,,,,,2015
223,MALIBCONG,CAR - Cordillera Administrative Region,Not Reported, ABRA,,,,,,,2015
224,MANABO,CAR - Cordillera Administrative Region,Single house, ABRA,2203.0,2263.0,9847.0,4.35,1.03,4.47,2015
225,MANABO,CAR - Cordillera Administrative Region,Duplex, ABRA,160.0,163.0,676.0,4.15,1.02,4.23,2015
226,MANABO,CAR - Cordillera Administrative Region,Multi-unit residential, ABRA,47.0,49.0,201.0,4.1,1.04,4.28,2015
227,MANABO,CAR - Cordillera Administrative Region,Commercial/industrial/agricultural, ABRA,,,,,,,2015
228,MANABO,CAR - Cordillera Administrative Region,Institutional living quarter, ABRA,,,,,,,2015
229,MANABO,CAR - Cordillera Administrative Region,Others, ABRA,,,,,,,2015
230,MANABO,CAR - Cordillera Administrative Region,Not Reported, ABRA,,,,,,,2015
231,PEÑARRUBIA,CAR - Cordillera Administrative Region,Single house, ABRA,1387.0,1401.0,6353.0,4.53,1.01,4.58,2015
232,PEÑARRUBIA,CAR - Cordillera Administrative Region,Duplex, ABRA,63.0,64.0,237.0,3.7,1.02,3.76,2015
233,PEÑARRUBIA,CAR - Cordillera Administrative Region,Multi-unit residential, ABRA,11.0,11.0,41.0,3.73,1.0,3.73,2015
234,PEÑARRUBIA,CAR - Cordillera Administrative Region,Commercial/industrial/agricultural, ABRA,,,,,,,2015
235,PEÑARRUBIA,CAR - Cordillera Administrative Region,Institutional living quarter, ABRA,,,,,,,2015
236,PEÑARRUBIA,CAR - Cordillera Administrative Region,Others, ABRA,,,,,,,2015
237,PEÑARRUBIA,CAR - Cordillera Administrative Region,Not Reported, ABRA,2.0,2.0,9.0,4.5,1.0,4.5,2015
238,PIDIGAN,CAR - Cordillera Administrative Region,Single house, ABRA,2481.0,2605.0,11581.0,4.45,1.05,4.67,2015
239,PIDIGAN,CAR - Cordillera Administrative Region,Duplex, ABRA,96.0,99.0,415.0,4.19,1.03,4.32,2015
240,PIDIGAN,CAR - Cordillera Administrative Region,Multi-unit residential, ABRA,21.0,22.0,89.0,4.05,1.05,4.24,2015
241,PIDIGAN,CAR - Cordillera Administrative Region,Commercial/industrial/agricultural, ABRA,1.0,1.0,3.0,3.0,1.0,3.0,2015
242,PIDIGAN,CAR - Cordillera Administrative Region,Institutional living quarter, ABRA,,,,,,,2015
243,PIDIGAN,CAR - Cordillera Administrative Region,Others, ABRA,1.0,1.0,2.0,2.0,1.0,2.0,2015
244,PIDIGAN,CAR - Cordillera Administrative Region,Not Reported, ABRA,,,,,,,2015
245,PILAR,CAR - Cordillera Administrative Region,Single house, ABRA,2182.0,2208.0,9891.0,4.48,1.01,4.53,2015
246,PILAR,CAR - Cordillera Administrative Region,Duplex, ABRA,75.0,76.0,307.0,4.04,1.01,4.09,2015
247,PILAR,CAR - Cordillera Administrative Region,Multi-unit residential, ABRA,5.0,5.0,18.0,3.6,1.0,3.6,2015
248,PILAR,CAR - Cordillera Administrative Region,Commercial/industrial/agricultural, ABRA,,,,,,,2015
249,PILAR,CAR - Cordillera Administrative Region,Institutional living quarter, ABRA,,,,,,,2015
250,PILAR,CAR - Cordillera Administrative Region,Others, ABRA,,,,,,,2015
251,PILAR,CAR - Cordillera Administrative Region,Not Reported, ABRA,,,,,,,2015
252,SALLAPADAN,CAR - Cordillera Administrative Region,Single house, ABRA,1299.0,1299.0,6399.0,4.93,1.0,4.93,2015
253,SALLAPADAN,CAR - Cordillera Administrative Region,Duplex, ABRA,39.0,39.0,204.0,5.23,1.0,5.23,2015
254,SALLAPADAN,CAR - Cordillera Administrative Region,Multi-unit residential, ABRA,3.0,3.0,11.0,3.67,1.0,3.67,2015
255,SALLAPADAN,CAR - Cordillera Administrative Region,Commercial/industrial/agricultural, ABRA,,,,,,,2015
256,SALLAPADAN,CAR - Cordillera Administrative Region,Institutional living quarter, ABRA,,,,,,,2015
257,SALLAPADAN,CAR - Cordillera Administrative Region,Others, ABRA,,,,,,,2015
258,SALLAPADAN,CAR - Cordillera Administrative Region,Not Reported, ABRA,,,,,,,2015
259,SAN ISIDRO,CAR - Cordillera Administrative Region,Single house, ABRA,993.0,1016.0,4324.0,4.26,1.02,4.35,2015
260,SAN ISIDRO,CAR - Cordillera Administrative Region,Duplex, ABRA,49.0,53.0,216.0,4.08,1.08,4.41,2015
261,SAN ISIDRO,CAR - Cordillera Administrative Region,Multi-unit residential, ABRA,10.0,11.0,28.0,2.55,1.1,2.8,2015
262,SAN ISIDRO,CAR - Cordillera Administrative Region,Commercial/industrial/agricultural, ABRA,,,,,,,2015
263,SAN ISIDRO,CAR - Cordillera Administrative Region,Institutional living quarter, ABRA,,,,,,,2015
264,SAN ISIDRO,CAR - Cordillera Administrative Region,Others, ABRA,,,,,,,2015
265,SAN ISIDRO,CAR - Cordillera Administrative Region,Not Reported, ABRA,2.0,2.0,5.0,2.5,1.0,2.5,2015
266,SAN JUAN,CAR - Cordillera Administrative Region,Single house, ABRA,2065.0,2124.0,9473.0,4.46,1.03,4.59,2015
267,SAN JUAN,CAR - Cordillera Administrative Region,Duplex, ABRA,76.0,76.0,310.0,4.08,1.0,4.08,2015
268,SAN JUAN,CAR - Cordillera Administrative Region,Multi-unit residential, ABRA,6.0,6.0,23.0,3.83,1.0,3.83,2015
269,SAN JUAN,CAR - Cordillera Administrative Region,Commercial/industrial/agricultural, ABRA,1.0,1.0,1.0,1.0,1.0,1.0,2015
270,SAN JUAN,CAR - Cordillera Administrative Region,Institutional living quarter, ABRA,,,,,,,2015
271,SAN JUAN,CAR - Cordillera Administrative Region,Others, ABRA,,,,,,,2015
272,SAN JUAN,CAR - Cordillera Administrative Region,Not Reported, ABRA,9.0,10.0,38.0,3.8,1.11,4.22,2015
273,SAN QUINTIN,CAR - Cordillera Administrative Region,Single house, ABRA,1172.0,1180.0,5107.0,4.33,1.01,4.36,2015
274,SAN QUINTIN,CAR - Cordillera Administrative Region,Duplex, ABRA,60.0,61.0,277.0,4.54,1.02,4.62,2015
275,SAN QUINTIN,CAR - Cordillera Administrative Region,Multi-unit residential, ABRA,6.0,6.0,28.0,4.67,1.0,4.67,2015
276,SAN QUINTIN,CAR - Cordillera Administrative Region,Commercial/industrial/agricultural, ABRA,,,,,,,2015
277,SAN QUINTIN,CAR - Cordillera Administrative Region,Institutional living quarter, ABRA,,,,,,,2015
278,SAN QUINTIN,CAR - Cordillera Administrative Region,Others, ABRA,,,,,,,2015
279,SAN QUINTIN,CAR - Cordillera Administrative Region,Not Reported, ABRA,1.0,2.0,9.0,4.5,2.0,9.0,2015
280,TAYUM,CAR - Cordillera Administrative Region,Single house, ABRA,2843.0,2958.0,13621.0,4.6,1.04,4.79,2015
281,TAYUM,CAR - Cordillera Administrative Region,Duplex, ABRA,147.0,154.0,714.0,4.64,1.05,4.86,2015
282,TAYUM,CAR - Cordillera Administrative Region,Multi-unit residential, ABRA,18.0,20.0,77.0,3.85,1.11,4.28,2015
283,TAYUM,CAR - Cordillera Administrative Region,Commercial/industrial/agricultural, ABRA,3.0,3.0,13.0,4.33,1.0,4.33,2015
284,TAYUM,CAR - Cordillera Administrative Region,Institutional living quarter, ABRA,,,,,,,2015
285,TAYUM,CAR - Cordillera Administrative Region,Others, ABRA,,,,,,,2015
286,TAYUM,CAR - Cordillera Administrative Region,Not Reported, ABRA,5.0,5.0,20.0,4.0,1.0,4.0,2015
287,TINEG,CAR - Cordillera Administrative Region,Single house, ABRA,824.0,973.0,5044.0,5.18,1.18,6.12,2015
288,TINEG,CAR - Cordillera Administrative Region,Duplex, ABRA,6.0,7.0,39.0,5.57,1.17,6.5,2015
289,TINEG,CAR - Cordillera Administrative Region,Multi-unit residential, ABRA,,,,,,,2015
290,TINEG,CAR - Cordillera Administrative Region,Commercial/industrial/agricultural, ABRA,,,,,,,2015
291,TINEG,CAR - Cordillera Administrative Region,Institutional living quarter, ABRA,,,,,,,2015
292,TINEG,CAR - Cordillera Administrative Region,Others, ABRA,,,,,,,2015
293,TINEG,CAR - Cordillera Administrative Region,Not Reported, ABRA,,,,,,,2015
294,TUBO,CAR - Cordillera Administrative Region,Single house, ABRA,972.0,974.0,5636.0,5.79,1.0,5.8,2015
295,TUBO,CAR - Cordillera Administrative Region,Duplex, ABRA,10.0,10.0,42.0,4.2,1.0,4.2,2015
296,TUBO,CAR - Cordillera Administrative Region,Multi-unit residential, ABRA,,,,,,,2015
297,TUBO,CAR - Cordillera Administrative Region,Commercial/industrial/agricultural, ABRA,,,,,,,2015
298,TUBO,CAR - Cordillera Administrative Region,Institutional living quarter, ABRA,,,,,,,2015
299,TUBO,CAR - Cordillera Administrative Region,Others, ABRA,,,,,,,2015
300,TUBO,CAR - Cordillera Administrative Region,Not Reported, ABRA,,,,,,,2015
301,VILLAVICIOSA,CAR - Cordillera Administrative Region,Single house, ABRA,1004.0,1032.0,4539.0,4.4,1.03,4.52,2015
302,VILLAVICIOSA,CAR - Cordillera Administrative Region,Duplex, ABRA,53.0,54.0,237.0,4.39,1.02,4.47,2015
303,VILLAVICIOSA,CAR - Cordillera Administrative Region,Multi-unit residential, ABRA,,,,,,,2015
304,VILLAVICIOSA,CAR - Cordillera Administrative Region,Commercial/industrial/agricultural, ABRA,,,,,,,2015
305,VILLAVICIOSA,CAR - Cordillera Administrative Region,Institutional living quarter, ABRA,,,,,,,2015
306,VILLAVICIOSA,CAR - Cordillera Administrative Region,Others, ABRA,,,,,,,2015
307,VILLAVICIOSA,CAR - Cordillera Administrative Region,Not Reported, ABRA,1.0,1.0,2.0,2.0,1.0,2.0,2015
308,CALANASAN (BAYAG),CAR - Cordillera Administrative Region,Single house, APAYAO,2361.0,2363.0,12431.0,5.26,1.0,5.27,2015
309,CALANASAN (BAYAG),CAR - Cordillera Administrative Region,Duplex, APAYAO,13.0,13.0,105.0,8.08,1.0,8.08,2015
310,CALANASAN (BAYAG),CAR - Cordillera Administrative Region,Multi-unit residential, APAYAO,,,,,,,2015
311,CALANASAN (BAYAG),CAR - Cordillera Administrative Region,Commercial/industrial/agricultural, APAYAO,3.0,3.0,11.0,3.67,1.0,3.67,2015
312,CALANASAN (BAYAG),CAR - Cordillera Administrative Region,Institutional living quarter, APAYAO,5.0,5.0,17.0,3.4,1.0,3.4,2015
313,CALANASAN (BAYAG),CAR - Cordillera Administrative Region,Others, APAYAO,,,,,,,2015
314,CALANASAN (BAYAG),CAR - Cordillera Administrative Region,Not Reported, APAYAO,,,,,,,2015
315,CONNER,CAR - Cordillera Administrative Region,Single house, APAYAO,5341.0,5344.0,25482.0,4.77,1.0,4.77,2015
316,CONNER,CAR - Cordillera Administrative Region,Duplex, APAYAO,116.0,116.0,487.0,4.2,1.0,4.2,2015
317,CONNER,CAR - Cordillera Administrative Region,Multi-unit residential, APAYAO,3.0,3.0,18.0,6.0,1.0,6.0,2015
318,CONNER,CAR - Cordillera Administrative Region,Commercial/industrial/agricultural, APAYAO,2.0,2.0,13.0,6.5,1.0,6.5,2015
319,CONNER,CAR - Cordillera Administrative Region,Institutional living quarter, APAYAO,,,,,,,2015
320,CONNER,CAR - Cordillera Administrative Region,Others, APAYAO,,,,,,,2015
321,CONNER,CAR - Cordillera Administrative Region,Not Reported, APAYAO,4.0,4.0,23.0,5.75,1.0,5.75,2015
322,FLORA,CAR - Cordillera Administrative Region,Single house, APAYAO,3820.0,3834.0,16420.0,4.28,1.0,4.3,2015
323,FLORA,CAR - Cordillera Administrative Region,Duplex, APAYAO,133.0,133.0,537.0,4.04,1.0,4.04,2015
324,FLORA,CAR - Cordillera Administrative Region,Multi-unit residential, APAYAO,76.0,76.0,295.0,3.88,1.0,3.88,2015
325,FLORA,CAR - Cordillera Administrative Region,Commercial/industrial/agricultural, APAYAO,10.0,10.0,36.0,3.6,1.0,3.6,2015
326,FLORA,CAR - Cordillera Administrative Region,Institutional living quarter, APAYAO,1.0,1.0,5.0,5.0,1.0,5.0,2015
327,FLORA,CAR - Cordillera Administrative Region,Others, APAYAO,,,,,,,2015
328,FLORA,CAR - Cordillera Administrative Region,Not Reported, APAYAO,2.0,2.0,10.0,5.0,1.0,5.0,2015
329,KABUGAO (Capital),CAR - Cordillera Administrative Region,Single house, APAYAO,3041.0,3052.0,15059.0,4.93,1.0,4.95,2015
330,KABUGAO (Capital),CAR - Cordillera Administrative Region,Duplex, APAYAO,65.0,65.0,302.0,4.65,1.0,4.65,2015
331,KABUGAO (Capital),CAR - Cordillera Administrative Region,Multi-unit residential, APAYAO,14.0,14.0,51.0,3.64,1.0,3.64,2015
332,KABUGAO (Capital),CAR - Cordillera Administrative Region,Commercial/industrial/agricultural, APAYAO,3.0,3.0,10.0,3.33,1.0,3.33,2015
333,KABUGAO (Capital),CAR - Cordillera Administrative Region,Institutional living quarter, APAYAO,3.0,3.0,8.0,2.67,1.0,2.67,2015
334,KABUGAO (Capital),CAR - Cordillera Administrative Region,Others, APAYAO,1.0,1.0,1.0,1.0,1.0,1.0,2015
335,KABUGAO (Capital),CAR - Cordillera Administrative Region,Not Reported, APAYAO,3.0,4.0,15.0,3.75,1.33,5.0,2015
336,LUNA,CAR - Cordillera Administrative Region,Single house, APAYAO,3926.0,3971.0,18061.0,4.55,1.01,4.6,2015
337,LUNA,CAR - Cordillera Administrative Region,Duplex, APAYAO,170.0,170.0,687.0,4.04,1.0,4.04,2015
338,LUNA,CAR - Cordillera Administrative Region,Multi-unit residential, APAYAO,30.0,30.0,116.0,3.87,1.0,3.87,2015
339,LUNA,CAR - Cordillera Administrative Region,Commercial/industrial/agricultural, APAYAO,3.0,3.0,9.0,3.0,1.0,3.0,2015
340,LUNA,CAR - Cordillera Administrative Region,Institutional living quarter, APAYAO,,,,,,,2015
341,LUNA,CAR - Cordillera Administrative Region,Others, APAYAO,,,,,,,2015
342,LUNA,CAR - Cordillera Administrative Region,Not Reported, APAYAO,,,,,,,2015
343,PUDTOL,CAR - Cordillera Administrative Region,Single house, APAYAO,2963.0,3011.0,14107.0,4.69,1.02,4.76,2015
344,PUDTOL,CAR - Cordillera Administrative Region,Duplex, APAYAO,165.0,166.0,679.0,4.09,1.01,4.12,2015
345,PUDTOL,CAR - Cordillera Administrative Region,Multi-unit residential, APAYAO,27.0,27.0,105.0,3.89,1.0,3.89,2015
346,PUDTOL,CAR - Cordillera Administrative Region,Commercial/industrial/agricultural, APAYAO,1.0,1.0,5.0,5.0,1.0,5.0,2015
347,PUDTOL,CAR - Cordillera Administrative Region,Institutional living quarter, APAYAO,,,,,,,2015
348,PUDTOL,CAR - Cordillera Administrative Region,Others, APAYAO,,,,,,,2015
349,PUDTOL,CAR - Cordillera Administrative Region,Not Reported, APAYAO,2.0,2.0,11.0,5.5,1.0,5.5,2015
350,SANTA MARCELA,CAR - Cordillera Administrative Region,Single house, APAYAO,2863.0,2879.0,12600.0,4.38,1.01,4.4,2015
351,SANTA MARCELA,CAR - Cordillera Administrative Region,Duplex, APAYAO,194.0,194.0,731.0,3.77,1.0,3.77,2015
352,SANTA MARCELA,CAR - Cordillera Administrative Region,Multi-unit residential, APAYAO,33.0,33.0,136.0,4.12,1.0,4.12,2015
353,SANTA MARCELA,CAR - Cordillera Administrative Region,Commercial/industrial/agricultural, APAYAO,18.0,19.0,63.0,3.32,1.06,3.5,2015
354,SANTA MARCELA,CAR - Cordillera Administrative Region,Institutional living quarter, APAYAO,1.0,1.0,1.0,1.0,1.0,1.0,2015
355,SANTA MARCELA,CAR - Cordillera Administrative Region,Others, APAYAO,,,,,,,2015
356,SANTA MARCELA,CAR - Cordillera Administrative Region,Not Reported, APAYAO,2.0,2.0,6.0,3.0,1.0,3.0,2015
357,ATOK,CAR - Cordillera Administrative Region,Single house, BENGUET (excluding Baguio City),3925.0,3966.0,17994.0,4.54,1.01,4.58,2015
358,ATOK,CAR - Cordillera Administrative Region,Duplex, BENGUET (excluding Baguio City),278.0,282.0,1123.0,3.98,1.01,4.04,2015
359,ATOK,CAR - Cordillera Administrative Region,Multi-unit residential, BENGUET (excluding Baguio City),127.0,128.0,446.0,3.48,1.01,3.51,2015
360,ATOK,CAR - Cordillera Administrative Region,Commercial/industrial/agricultural, BENGUET (excluding Baguio City),2.0,2.0,4.0,2.0,1.0,2.0,2015
361,ATOK,CAR - Cordillera Administrative Region,Institutional living quarter, BENGUET (excluding Baguio City),,,,,,,2015
362,ATOK,CAR - Cordillera Administrative Region,Others, BENGUET (excluding Baguio City),,,,,,,2015
363,ATOK,CAR - Cordillera Administrative Region,Not Reported, BENGUET (excluding Baguio City),,,,,,,2015
364,BAKUN,CAR - Cordillera Administrative Region,Single house, BENGUET (excluding Baguio City),3179.0,3180.0,14455.0,4.55,1.0,4.55,2015
365,BAKUN,CAR - Cordillera Administrative Region,Duplex, BENGUET (excluding Baguio City),117.0,119.0,485.0,4.08,1.02,4.15,2015
366,BAKUN,CAR - Cordillera Administrative Region,Multi-unit residential, BENGUET (excluding Baguio City),50.0,50.0,204.0,4.08,1.0,4.08,2015
367,BAKUN,CAR - Cordillera Administrative Region,Commercial/industrial/agricultural, BENGUET (excluding Baguio City),1.0,1.0,2.0,2.0,1.0,2.0,2015
368,BAKUN,CAR - Cordillera Administrative Region,Institutional living quarter, BENGUET (excluding Baguio City),,,,,,,2015
369,BAKUN,CAR - Cordillera Administrative Region,Others, BENGUET (excluding Baguio City),,,,,,,2015
370,BAKUN,CAR - Cordillera Administrative Region,Not Reported, BENGUET (excluding Baguio City),,,,,,,2015
371,BOKOD,CAR - Cordillera Administrative Region,Single house, BENGUET (excluding Baguio City),2767.0,2771.0,13294.0,4.8,1.0,4.8,2015
372,BOKOD,CAR - Cordillera Administrative Region,Duplex, BENGUET (excluding Baguio City),74.0,74.0,320.0,4.32,1.0,4.32,2015
373,BOKOD,CAR - Cordillera Administrative Region,Multi-unit residential, BENGUET (excluding Baguio City),28.0,28.0,117.0,4.18,1.0,4.18,2015
374,BOKOD,CAR - Cordillera Administrative Region,Commercial/industrial/agricultural, BENGUET (excluding Baguio City),4.0,4.0,19.0,4.75,1.0,4.75,2015
375,BOKOD,CAR - Cordillera Administrative Region,Institutional living quarter, BENGUET (excluding Baguio City),,,,,,,2015
376,BOKOD,CAR - Cordillera Administrative Region,Others, BENGUET (excluding Baguio City),,,,,,,2015
377,BOKOD,CAR - Cordillera Administrative Region,Not Reported, BENGUET (excluding Baguio City),,,,,,,2015
378,BUGUIAS,CAR - Cordillera Administrative Region,Single house, BENGUET (excluding Baguio City),8762.0,8772.0,35678.0,4.07,1.0,4.07,2015
379,BUGUIAS,CAR - Cordillera Administrative Region,Duplex, BENGUET (excluding Baguio City),1257.0,1257.0,4956.0,3.94,1.0,3.94,2015
380,BUGUIAS,CAR - Cordillera Administrative Region,Multi-unit residential, BENGUET (excluding Baguio City),824.0,825.0,2823.0,3.42,1.0,3.43,2015
381,BUGUIAS,CAR - Cordillera Administrative Region,Commercial/industrial/agricultural, BENGUET (excluding Baguio City),20.0,20.0,89.0,4.45,1.0,4.45,2015
382,BUGUIAS,CAR - Cordillera Administrative Region,Institutional living quarter, BENGUET (excluding Baguio City),,,,,,,2015
383,BUGUIAS,CAR - Cordillera Administrative Region,Others, BENGUET (excluding Baguio City),,,,,,,2015
384,BUGUIAS,CAR - Cordillera Administrative Region,Not Reported, BENGUET (excluding Baguio City),,,,,,,2015
385,ITOGON,CAR - Cordillera Administrative Region,Single house, BENGUET (excluding Baguio City),11842.0,11862.0,50674.0,4.27,1.0,4.28,2015
386,ITOGON,CAR - Cordillera Administrative Region,Duplex, BENGUET (excluding Baguio City),827.0,827.0,3371.0,4.08,1.0,4.08,2015
387,ITOGON,CAR - Cordillera Administrative Region,Multi-unit residential, BENGUET (excluding Baguio City),1327.0,1329.0,4714.0,3.55,1.0,3.55,2015
388,ITOGON,CAR - Cordillera Administrative Region,Commercial/industrial/agricultural, BENGUET (excluding Baguio City),173.0,173.0,734.0,4.24,1.0,4.24,2015
389,ITOGON,CAR - Cordillera Administrative Region,Institutional living quarter, BENGUET (excluding Baguio City),,,,,,,2015
390,ITOGON,CAR - Cordillera Administrative Region,Others, BENGUET (excluding Baguio City),,,,,,,2015
391,ITOGON,CAR - Cordillera Administrative Region,Not Reported, BENGUET (excluding Baguio City),35.0,35.0,85.0,2.43,1.0,2.43,2015
392,KABAYAN,CAR - Cordillera Administrative Region,Single house, BENGUET (excluding Baguio City),3252.0,3258.0,14290.0,4.39,1.0,4.39,2015
393,KABAYAN,CAR - Cordillera Administrative Region,Duplex, BENGUET (excluding Baguio City),171.0,171.0,736.0,4.3,1.0,4.3,2015
394,KABAYAN,CAR - Cordillera Administrative Region,Multi-unit residential, BENGUET (excluding Baguio City),53.0,53.0,183.0,3.45,1.0,3.45,2015
395,KABAYAN,CAR - Cordillera Administrative Region,Commercial/industrial/agricultural, BENGUET (excluding Baguio City),7.0,7.0,28.0,4.0,1.0,4.0,2015
396,KABAYAN,CAR - Cordillera Administrative Region,Institutional living quarter, BENGUET (excluding Baguio City),,,,,,,2015
397,KABAYAN,CAR - Cordillera Administrative Region,Others, BENGUET (excluding Baguio City),,,,,,,2015
398,KABAYAN,CAR - Cordillera Administrative Region,Not Reported, BENGUET (excluding Baguio City),,,,,,,2015
399,KAPANGAN,CAR - Cordillera Administrative Region,Single house, BENGUET (excluding Baguio City),3981.0,3985.0,18427.0,4.62,1.0,4.63,2015
400,KAPANGAN,CAR - Cordillera Administrative Region,Duplex, BENGUET (excluding Baguio City),170.0,170.0,769.0,4.52,1.0,4.52,2015
