Type of Building and City/Municipality, Occupied Housing Units , Number of Households* , Household Population* , Average Household Size , Ratio of Households to Occupied Housing Units , Ratio of Household Population to Occupied Housing Units ,,,,,,,,,,,,
Not Reported,  2 ,  2 ,  13 ,"  6,50 ","  1,00 ","  6,50 ",,,,,,,,,,,,
 CANDELARIA,,,,,,,,,,,,,,,,,,
Total,  6.034 ,  6.061 ,  27.151 ,"  4,48 ","  1,00 ","  4,50 ",,,,,,,,,,,,
Single house,  5.601 ,  5.626 ,  25.333 ,"  4,50 ","  1,00 ","  4,52 ",,,,,,,,,,,,
Duplex,  306 ,  308 ,  1.295 ,"  4,20 ","  1,01 ","  4,23 ",,,,,,,,,,,,
Multi-unit residential,  123 ,  123 ,  513 ,"  4,17 ","  1,00 ","  4,17 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  2 ,  2 ,  4 ,"  2,00 ","  1,00 ","  2,00 ",,,,,,,,,,,,
Institutional living quarter,  1 ,  1 ,  2 ,"  2,00 ","  1,00 ","  2,00 ",,,,,,,,,,,,
Others,  1 ,  1 ,  4 ,"  4,00 ","  1,00 ","  4,00 ",,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 CASTILLEJOS,,,,,,,,,,,,,,,,,,
Total,  16.636 ,  17.230 ,  64.774 ,"  3,76 ","  1,04 ","  3,89 ",,,,,,,,,,,,
Single house,  11.852 ,  12.260 ,  49.249 ,"  4,02 ","  1,03 ","  4,16 ",,,,,,,,,,,,
Duplex,  2.176 ,  2.241 ,  8.004 ,"  3,57 ","  1,03 ","  3,68 ",,,,,,,,,,,,
Multi-unit residential,  2.574 ,  2.694 ,  7.400 ,"  2,75 ","  1,05 ","  2,87 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  23 ,  23 ,  78 ,"  3,39 ","  1,00 ","  3,39 ",,,,,,,,,,,,
Institutional living quarter,  2 ,  3 ,  13 ,"  4,33 ","  1,50 ","  6,50 ",,,,,,,,,,,,
Others,  1 ,  1 ,  6 ,"  6,00 ","  1,00 ","  6,00 ",,,,,,,,,,,,
Not Reported,  8 ,  8 ,  24 ,"  3,00 ","  1,00 ","  3,00 ",,,,,,,,,,,,
 IBA (Capital),,,,,,,,,,,,,,,,,,
Total,  11.450 ,  11.909 ,  50.038 ,"  4,20 ","  1,04 ","  4,37 ",,,,,,,,,,,,
Single house,  10.192 ,  10.621 ,  45.034 ,"  4,24 ","  1,04 ","  4,42 ",,,,,,,,,,,,
Duplex,  778 ,  801 ,  3.170 ,"  3,96 ","  1,03 ","  4,07 ",,,,,,,,,,,,
Multi-unit residential,  450 ,  454 ,  1.706 ,"  3,76 ","  1,01 ","  3,79 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  19 ,  20 ,  68 ,"  3,40 ","  1,05 ","  3,58 ",,,,,,,,,,,,
Institutional living quarter,  2 ,  2 ,  17 ,"  8,50 ","  1,00 ","  8,50 ",,,,,,,,,,,,
Others,  4 ,  4 ,  13 ,"  3,25 ","  1,00 ","  3,25 ",,,,,,,,,,,,
Not Reported,  5 ,  7 ,  30 ,"  4,29 ","  1,40 ","  6,00 ",,,,,,,,,,,,
 MASINLOC,,,,,,,,,,,,,,,,,,
Total,  10.620 ,  10.894 ,  47.619 ,"  4,37 ","  1,03 ","  4,48 ",,,,,,,,,,,,
Single house,  9.485 ,  9.746 ,  43.033 ,"  4,42 ","  1,03 ","  4,54 ",,,,,,,,,,,,
Duplex,  709 ,  721 ,  2.957 ,"  4,10 ","  1,02 ","  4,17 ",,,,,,,,,,,,
Multi-unit residential,  415 ,  415 ,  1.576 ,"  3,80 ","  1,00 ","  3,80 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  5 ,  6 ,  23 ,"  3,83 ","  1,20 ","  4,60 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  6 ,  6 ,  30 ,"  5,00 ","  1,00 ","  5,00 ",,,,,,,,,,,,
 PALAUIG,,,,,,,,,,,,,,,,,,
Total,  7.857 ,  7.861 ,  34.789 ,"  4,43 ","  1,00 ","  4,43 ",,,,,,,,,,,,
Single house,  7.472 ,  7.476 ,  33.189 ,"  4,44 ","  1,00 ","  4,44 ",,,,,,,,,,,,
Duplex,  276 ,  276 ,  1.149 ,"  4,16 ","  1,00 ","  4,16 ",,,,,,,,,,,,
Multi-unit residential,  104 ,  104 ,  428 ,"  4,12 ","  1,00 ","  4,12 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  2 ,  2 ,  12 ,"  6,00 ","  1,00 ","  6,00 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  3 ,  3 ,  11 ,"  3,67 ","  1,00 ","  3,67 ",,,,,,,,,,,,
 SAN ANTONIO,,,,,,,,,,,,,,,,,,
Total,  8.572 ,  8.709 ,  34.559 ,"  3,97 ","  1,02 ","  4,03 ",,,,,,,,,,,,
Single house,  7.519 ,  7.638 ,  30.380 ,"  3,98 ","  1,02 ","  4,04 ",,,,,,,,,,,,
Duplex,  658 ,  672 ,  2.625 ,"  3,91 ","  1,02 ","  3,99 ",,,,,,,,,,,,
Multi-unit residential,  381 ,  384 ,  1.487 ,"  3,87 ","  1,01 ","  3,90 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  8 ,  8 ,  33 ,"  4,13 ","  1,00 ","  4,13 ",,,,,,,,,,,,
Institutional living quarter,  1 ,  1 ,  6 ,"  6,00 ","  1,00 ","  6,00 ",,,,,,,,,,,,
Others,  1 ,  1 ,  10 ,"  10,00 ","  1,00 ","  10,00 ",,,,,,,,,,,,
Not Reported,  4 ,  5 ,  18 ,"  3,60 ","  1,25 ","  4,50 ",,,,,,,,,,,,
 SAN FELIPE,,,,,,,,,,,,,,,,,,
Total,  5.585 ,  5.725 ,  23.103 ,"  4,04 ","  1,03 ","  4,14 ",,,,,,,,,,,,
Single house,  5.196 ,  5.327 ,  21.497 ,"  4,04 ","  1,03 ","  4,14 ",,,,,,,,,,,,
Duplex,  292 ,  301 ,  1.239 ,"  4,12 ","  1,03 ","  4,24 ",,,,,,,,,,,,
Multi-unit residential,  86 ,  86 ,  334 ,"  3,88 ","  1,00 ","  3,88 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  10 ,  10 ,  31 ,"  3,10 ","  1,00 ","  3,10 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  1 ,  1 ,  2 ,"  2,00 ","  1,00 ","  2,00 ",,,,,,,,,,,,
 SAN MARCELINO,,,,,,,,,,,,,,,,,,
Total,  8.019 ,  8.098 ,  33.592 ,"  4,15 ","  1,01 ","  4,19 ",,,,,,,,,,,,
Single house,  6.910 ,  6.972 ,  29.260 ,"  4,20 ","  1,01 ","  4,23 ",,,,,,,,,,,,
Duplex,  781 ,  794 ,  3.065 ,"  3,86 ","  1,02 ","  3,92 ",,,,,,,,,,,,
Multi-unit residential,  310 ,  314 ,  1.215 ,"  3,87 ","  1,01 ","  3,92 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  12 ,  12 ,  25 ,"  2,08 ","  1,00 ","  2,08 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  6 ,  6 ,  27 ,"  4,50 ","  1,00 ","  4,50 ",,,,,,,,,,,,
 SAN NARCISO,,,,,,,,,,,,,,,,,,
Total,  7.038 ,  7.161 ,  28.012 ,"  3,91 ","  1,02 ","  3,98 ",,,,,,,,,,,,
Single house,  6.568 ,  6.685 ,  26.248 ,"  3,93 ","  1,02 ","  4,00 ",,,,,,,,,,,,
Duplex,  322 ,  327 ,  1.255 ,"  3,84 ","  1,02 ","  3,90 ",,,,,,,,,,,,
Multi-unit residential,  141 ,  142 ,  477 ,"  3,36 ","  1,01 ","  3,38 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  3 ,  3 ,  13 ,"  4,33 ","  1,00 ","  4,33 ",,,,,,,,,,,,
Institutional living quarter,  2 ,  2 ,  6 ,"  3,00 ","  1,00 ","  3,00 ",,,,,,,,,,,,
Others,  1 ,  1 ,  5 ,"  5,00 ","  1,00 ","  5,00 ",,,,,,,,,,,,
Not Reported,  1 ,  1 ,  8 ,"  8,00 ","  1,00 ","  8,00 ",,,,,,,,,,,,
 SANTA CRUZ,,,,,,,,,,,,,,,,,,
Total,  13.680 ,  13.865 ,  58.042 ,"  4,19 ","  1,01 ","  4,24 ",,,,,,,,,,,,
Single house,  12.137 ,  12.301 ,  51.884 ,"  4,22 ","  1,01 ","  4,27 ",,,,,,,,,,,,
Duplex,  1.131 ,  1.148 ,  4.615 ,"  4,02 ","  1,02 ","  4,08 ",,,,,,,,,,,,
Multi-unit residential,  388 ,  392 ,  1.469 ,"  3,75 ","  1,01 ","  3,79 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  20 ,  20 ,  61 ,"  3,05 ","  1,00 ","  3,05 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  4 ,  4 ,  13 ,"  3,25 ","  1,00 ","  3,25 ",,,,,,,,,,,,
 SUBIC,,,,,,,,,,,,,,,,,,
Total,  24.760 ,  25.014 ,  103.814 ,"  4,15 ","  1,01 ","  4,19 ",,,,,,,,,,,,
Single house,  19.311 ,  19.480 ,  82.756 ,"  4,25 ","  1,01 ","  4,29 ",,,,,,,,,,,,
Duplex,  2.730 ,  2.773 ,  10.981 ,"  3,96 ","  1,02 ","  4,02 ",,,,,,,,,,,,
Multi-unit residential,  2.608 ,  2.647 ,  9.605 ,"  3,63 ","  1,01 ","  3,68 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  85 ,  87 ,  358 ,"  4,11 ","  1,02 ","  4,21 ",,,,,,,,,,,,
Institutional living quarter,  3 ,  3 ,  8 ,"  2,67 ","  1,00 ","  2,67 ",,,,,,,,,,,,
Others,  8 ,  8 ,  35 ,"  4,38 ","  1,00 ","  4,38 ",,,,,,,,,,,,
Not Reported,  15 ,  16 ,  71 ,"  4,44 ","  1,07 ","  4,73 ",,,,,,,,,,,,
 OLONGAPO CITY,,,,,,,,,,,,,,,,,,
Total,  55.265 ,  56.482 ,  231.823 ,"  4,10 ","  1,02 ","  4,19 ",,,,,,,,,,,,
Single house,  31.139 ,  31.649 ,  137.369 ,"  4,34 ","  1,02 ","  4,41 ",,,,,,,,,,,,
Duplex,  7.950 ,  8.131 ,  32.408 ,"  3,99 ","  1,02 ","  4,08 ",,,,,,,,,,,,
Multi-unit residential,  16.023 ,  16.541 ,  61.567 ,"  3,72 ","  1,03 ","  3,84 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  114 ,  122 ,  373 ,"  3,06 ","  1,07 ","  3,27 ",,,,,,,,,,,,
Institutional living quarter,  19 ,  19 ,  42 ,"  2,21 ","  1,00 ","  2,21 ",,,,,,,,,,,,
Others,  11 ,  11 ,  26 ,"  2,36 ","  1,00 ","  2,36 ",,,,,,,,,,,,
Not Reported,  9 ,  9 ,  38 ,"  4,22 ","  1,00 ","  4,22 ",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
REGION IV-A - CALABARZON,,,,,,,,,,,,,,,,,,
Total,  3.297.110 ,  3.395.332 ,  14.364.868 ,"  4,23 ","  1,03 ","  4,36 ",,,,,,,,,,,,
Single house,  2.417.676 ,  2.483.128 ,  10.789.191 ,"  4,34 ","  1,03 ","  4,46 ",,,,,,,,,,,,
Duplex,  295.936 ,  305.840 ,  1.241.864 ,"  4,06 ","  1,03 ","  4,20 ",,,,,,,,,,,,
Multi-unit residential,  578.370 ,  600.848 ,  2.313.504 ,"  3,85 ","  1,04 ","  4,00 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  3.699 ,  3.885 ,  14.093 ,"  3,63 ","  1,05 ","  3,81 ",,,,,,,,,,,,
Institutional living quarter,  228 ,  258 ,  835 ,"  3,24 ","  1,13 ","  3,66 ",,,,,,,,,,,,
Others,  414 ,  414 ,  1.392 ,"  3,36 ","  1,00 ","  3,36 ",,,,,,,,,,,,
Not Reported,  787 ,  959 ,  3.989 ,"  4,16 ","  1,22 ","  5,07 ",,,,,,,,,,,,
 BATANGAS,,,,,,,,,,,,,,,,,,
Total,  597.758 ,  613.825 ,  2.686.444 ,"  4,38 ","  1,03 ","  4,49 ",,,,,,,,,,,,
Single house,  528.503 ,  542.574 ,  2.408.792 ,"  4,44 ","  1,03 ","  4,56 ",,,,,,,,,,,,
Duplex,  33.154 ,  34.050 ,  138.892 ,"  4,08 ","  1,03 ","  4,19 ",,,,,,,,,,,,
Multi-unit residential,  35.217 ,  36.228 ,  135.109 ,"  3,73 ","  1,03 ","  3,84 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  621 ,  661 ,  2.321 ,"  3,51 ","  1,06 ","  3,74 ",,,,,,,,,,,,
Institutional living quarter,  5 ,  5 ,  16 ,"  3,20 ","  1,00 ","  3,20 ",,,,,,,,,,,,
Others,  113 ,  113 ,  423 ,"  3,74 ","  1,00 ","  3,74 ",,,,,,,,,,,,
Not Reported,  145 ,  194 ,  891 ,"  4,59 ","  1,34 ","  6,14 ",,,,,,,,,,,,
 AGONCILLO,,,,,,,,,,,,,,,,,,
Total,  7.806 ,  7.826 ,  38.009 ,"  4,86 ","  1,00 ","  4,87 ",,,,,,,,,,,,
Single house,  7.659 ,  7.679 ,  37.304 ,"  4,86 ","  1,00 ","  4,87 ",,,,,,,,,,,,
Duplex,  112 ,  112 ,  512 ,"  4,57 ","  1,00 ","  4,57 ",,,,,,,,,,,,
Multi-unit residential,  34 ,  34 ,  190 ,"  5,59 ","  1,00 ","  5,59 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  1 ,  1 ,  3 ,"  3,00 ","  1,00 ","  3,00 ",,,,,,,,,,,,
 ALITAGTAG,,,,,,,,,,,,,,,,,,
Total,  5.089 ,  5.556 ,  25.264 ,"  4,55 ","  1,09 ","  4,96 ",,,,,,,,,,,,
Single house,  4.642 ,  5.086 ,  23.322 ,"  4,59 ","  1,10 ","  5,02 ",,,,,,,,,,,,
Duplex,  274 ,  289 ,  1.211 ,"  4,19 ","  1,05 ","  4,42 ",,,,,,,,,,,,
Multi-unit residential,  157 ,  165 ,  689 ,"  4,18 ","  1,05 ","  4,39 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  16 ,  16 ,  42 ,"  2,63 ","  1,00 ","  2,63 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 BALAYAN,,,,,,,,,,,,,,,,,,
Total,  20.414 ,  22.001 ,  90.503 ,"  4,11 ","  1,08 ","  4,43 ",,,,,,,,,,,,
Single house,  18.061 ,  19.529 ,  81.176 ,"  4,16 ","  1,08 ","  4,49 ",,,,,,,,,,,,
Duplex,  1.526 ,  1.593 ,  6.000 ,"  3,77 ","  1,04 ","  3,93 ",,,,,,,,,,,,
Multi-unit residential,  781 ,  801 ,  2.949 ,"  3,68 ","  1,03 ","  3,78 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  27 ,  27 ,  102 ,"  3,78 ","  1,00 ","  3,78 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  1 ,  1 ,  7 ,"  7,00 ","  1,00 ","  7,00 ",,,,,,,,,,,,
Not Reported,  18 ,  50 ,  269 ,"  5,38 ","  2,78 ","  14,94 ",,,,,,,,,,,,
 BALETE,,,,,,,,,,,,,,,,,,
Total,  4.580 ,  4.732 ,  22.618 ,"  4,78 ","  1,03 ","  4,94 ",,,,,,,,,,,,
Single house,  4.353 ,  4.502 ,  21.628 ,"  4,80 ","  1,03 ","  4,97 ",,,,,,,,,,,,
Duplex,  185 ,  187 ,  815 ,"  4,36 ","  1,01 ","  4,41 ",,,,,,,,,,,,
Multi-unit residential,  42 ,  43 ,  175 ,"  4,07 ","  1,02 ","  4,17 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 BATANGAS CITY (Capital),,,,,,,,,,,,,,,,,,
Total,  75.485 ,  77.990 ,  327.643 ,"  4,20 ","  1,03 ","  4,34 ",,,,,,,,,,,,
Single house,  64.906 ,  66.861 ,  285.976 ,"  4,28 ","  1,03 ","  4,41 ",,,,,,,,,,,,
Duplex,  5.319 ,  5.554 ,  21.963 ,"  3,95 ","  1,04 ","  4,13 ",,,,,,,,,,,,
Multi-unit residential,  5.163 ,  5.464 ,  19.313 ,"  3,53 ","  1,06 ","  3,74 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  78 ,  90 ,  314 ,"  3,49 ","  1,15 ","  4,03 ",,,,,,,,,,,,
Institutional living quarter,  2 ,  2 ,  6 ,"  3,00 ","  1,00 ","  3,00 ",,,,,,,,,,,,
Others,  1 ,  1 ,  2 ,"  2,00 ","  1,00 ","  2,00 ",,,,,,,,,,,,
Not Reported,  16 ,  18 ,  69 ,"  3,83 ","  1,13 ","  4,31 ",,,,,,,,,,,,
 BAUAN,,,,,,,,,,,,,,,,,,
Total,  20.241 ,  20.694 ,  90.609 ,"  4,38 ","  1,02 ","  4,48 ",,,,,,,,,,,,
Single house,  16.089 ,  16.473 ,  74.048 ,"  4,50 ","  1,02 ","  4,60 ",,,,,,,,,,,,
Duplex,  1.960 ,  1.994 ,  8.200 ,"  4,11 ","  1,02 ","  4,18 ",,,,,,,,,,,,
Multi-unit residential,  2.152 ,  2.186 ,  8.196 ,"  3,75 ","  1,02 ","  3,81 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  37 ,  38 ,  156 ,"  4,11 ","  1,03 ","  4,22 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  2 ,  2 ,  3 ,"  1,50 ","  1,00 ","  1,50 ",,,,,,,,,,,,
Not Reported,  1 ,  1 ,  6 ,"  6,00 ","  1,00 ","  6,00 ",,,,,,,,,,,,
 CALACA,,,,,,,,,,,,,,,,,,
Total,  17.707 ,  18.459 ,  81.640 ,"  4,42 ","  1,04 ","  4,61 ",,,,,,,,,,,,
Single house,  16.525 ,  17.244 ,  76.755 ,"  4,45 ","  1,04 ","  4,64 ",,,,,,,,,,,,
Duplex,  738 ,  766 ,  3.111 ,"  4,06 ","  1,04 ","  4,22 ",,,,,,,,,,,,
Multi-unit residential,  404 ,  408 ,  1.627 ,"  3,99 ","  1,01 ","  4,03 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  23 ,  23 ,  80 ,"  3,48 ","  1,00 ","  3,48 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  9 ,  9 ,  36 ,"  4,00 ","  1,00 ","  4,00 ",,,,,,,,,,,,
Not Reported,  8 ,  9 ,  31 ,"  3,44 ","  1,13 ","  3,88 ",,,,,,,,,,,,
 CALATAGAN,,,,,,,,,,,,,,,,,,
Total,  13.337 ,  13.717 ,  56.424 ,"  4,11 ","  1,03 ","  4,23 ",,,,,,,,,,,,
Single house,  12.569 ,  12.941 ,  53.410 ,"  4,13 ","  1,03 ","  4,25 ",,,,,,,,,,,,
Duplex,  596 ,  603 ,  2.395 ,"  3,97 ","  1,01 ","  4,02 ",,,,,,,,,,,,
Multi-unit residential,  153 ,  153 ,  534 ,"  3,49 ","  1,00 ","  3,49 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  6 ,  6 ,  18 ,"  3,00 ","  1,00 ","  3,00 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  13 ,  14 ,  67 ,"  4,79 ","  1,08 ","  5,15 ",,,,,,,,,,,,
 CUENCA,,,,,,,,,,,,,,,,,,
Total,  7.160 ,  7.213 ,  32.750 ,"  4,54 ","  1,01 ","  4,57 ",,,,,,,,,,,,
Single house,  6.604 ,  6.650 ,  30.277 ,"  4,55 ","  1,01 ","  4,58 ",,,,,,,,,,,,
Duplex,  320 ,  327 ,  1.405 ,"  4,30 ","  1,02 ","  4,39 ",,,,,,,,,,,,
Multi-unit residential,  231 ,  231 ,  1.051 ,"  4,55 ","  1,00 ","  4,55 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  5 ,  5 ,  17 ,"  3,40 ","  1,00 ","  3,40 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
 IBAAN,,,,,,,,,,,,,,,,,,
Total,  12.005 ,  12.307 ,  52.960 ,"  4,30 ","  1,03 ","  4,41 ",,,,,,,,,,,,
Single house,  11.022 ,  11.311 ,  49.073 ,"  4,34 ","  1,03 ","  4,45 ",,,,,,,,,,,,
Duplex,  540 ,  550 ,  2.289 ,"  4,16 ","  1,02 ","  4,24 ",,,,,,,,,,,,
Multi-unit residential,  434 ,  437 ,  1.568 ,"  3,59 ","  1,01 ","  3,61 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  8 ,  8 ,  29 ,"  3,63 ","  1,00 ","  3,63 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  1 ,  1 ,  1 ,"  1,00 ","  1,00 ","  1,00 ",,,,,,,,,,,,
 LAUREL,,,,,,,,,,,,,,,,,,
Total,  8.551 ,  8.563 ,  39.405 ,"  4,60 ","  1,00 ","  4,61 ",,,,,,,,,,,,
Single house,  8.335 ,  8.347 ,  38.489 ,"  4,61 ","  1,00 ","  4,62 ",,,,,,,,,,,,
Duplex,  160 ,  160 ,  691 ,"  4,32 ","  1,00 ","  4,32 ",,,,,,,,,,,,
Multi-unit residential,  47 ,  47 ,  184 ,"  3,91 ","  1,00 ","  3,91 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  8 ,  8 ,  38 ,"  4,75 ","  1,00 ","  4,75 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  1 ,  1 ,  3 ,"  3,00 ","  1,00 ","  3,00 ",,,,,,,,,,,,
 LEMERY,,,,,,,,,,,,,,,,,,
Total,  19.635 ,  20.141 ,  92.932 ,"  4,61 ","  1,03 ","  4,73 ",,,,,,,,,,,,
Single house,  17.510 ,  17.926 ,  84.343 ,"  4,71 ","  1,02 ","  4,82 ",,,,,,,,,,,,
Duplex,  1.025 ,  1.060 ,  4.449 ,"  4,20 ","  1,03 ","  4,34 ",,,,,,,,,,,,
Multi-unit residential,  948 ,  987 ,  3.618 ,"  3,67 ","  1,04 ","  3,82 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  81 ,  96 ,  295 ,"  3,07 ","  1,19 ","  3,64 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  65 ,  65 ,  197 ,"  3,03 ","  1,00 ","  3,03 ",,,,,,,,,,,,
Not Reported,  6 ,  7 ,  30 ,"  4,29 ","  1,17 ","  5,00 ",,,,,,,,,,,,
 LIAN,,,,,,,,,,,,,,,,,,
Total,  12.507 ,  12.956 ,  52.610 ,"  4,06 ","  1,04 ","  4,21 ",,,,,,,,,,,,
Single house,  10.938 ,  11.344 ,  46.375 ,"  4,09 ","  1,04 ","  4,24 ",,,,,,,,,,,,
Duplex,  1.093 ,  1.122 ,  4.315 ,"  3,85 ","  1,03 ","  3,95 ",,,,,,,,,,,,
Multi-unit residential,  462 ,  474 ,  1.862 ,"  3,93 ","  1,03 ","  4,03 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  6 ,  6 ,  16 ,"  2,67 ","  1,00 ","  2,67 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  8 ,  10 ,  42 ,"  4,20 ","  1,25 ","  5,25 ",,,,,,,,,,,,
 LIPA CITY,,,,,,,,,,,,,,,,,,
Total,  72.177 ,  73.607 ,  330.325 ,"  4,49 ","  1,02 ","  4,58 ",,,,,,,,,,,,
Single house,  60.410 ,  61.556 ,  281.281 ,"  4,57 ","  1,02 ","  4,66 ",,,,,,,,,,,,
Duplex,  4.456 ,  4.570 ,  19.600 ,"  4,29 ","  1,03 ","  4,40 ",,,,,,,,,,,,
Multi-unit residential,  7.191 ,  7.359 ,  28.943 ,"  3,93 ","  1,02 ","  4,02 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  103 ,  105 ,  413 ,"  3,93 ","  1,02 ","  4,01 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  15 ,  15 ,  68 ,"  4,53 ","  1,00 ","  4,53 ",,,,,,,,,,,,
Not Reported,  2 ,  2 ,  20 ,"  10,00 ","  1,00 ","  10,00 ",,,,,,,,,,,,
 LOBO,,,,,,,,,,,,,,,,,,
Total,  8.945 ,  9.052 ,  41.499 ,"  4,58 ","  1,01 ","  4,64 ",,,,,,,,,,,,
Single house,  8.556 ,  8.661 ,  39.866 ,"  4,60 ","  1,01 ","  4,66 ",,,,,,,,,,,,
Duplex,  292 ,  293 ,  1.263 ,"  4,31 ","  1,00 ","  4,33 ",,,,,,,,,,,,
Multi-unit residential,  92 ,  92 ,  342 ,"  3,72 ","  1,00 ","  3,72 ",,,,,,,,,,,,
Commercial/industrial/agricultural,  4 ,  4 ,  13 ,"  3,25 ","  1,00 ","  3,25 ",,,,,,,,,,,,
Institutional living quarter,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Others,  -   ,  -   ,  -   ,  -   ,,,,,,,,,,,,,,
Not Reported,  1 ,  2 ,  15 ,"  7,50 ","  2,00 ","  15,00 ",,,,,,,,,,,,
 MABINI,,,,,,,,,,,,,,,,,,
Total,  9.757 ,  9.954 ,  46.126 ,"  4,63 ","  1,02 ","  4,73 ",,,,,,,,,,,,
Single house,  9.064 ,  9.255 ,  43.310 ,"  4,68 ","  1,02 ","  4,78 ",,,,,,,,,,,,
