City/Municipality,Number of Households*,Own use faucet community water system,Shared faucet community water system,Own use tubed/piped deep well,Shared tubed/piped deep well,Tubed/piped shallow well,Dug well,Protected spring,Unprotected spring,"Lake, river, rain and others",Peddler,Bottled water,Others,Not Reported,,,,,,,,,,,,,,
SAN NICOLAS,  4.485 ,  2.707 ,  413 ,  446 ,  430 ,  314 ,  22 ,  2 ,  -   ,  -   ,  12 ,  116 ,  23 ,  -   ,,,,,,,,,,,,,,
SAN PASCUAL,  15.212 ,  11.374 ,  875 ,  561 ,  211 ,  8 ,  10 ,  13 ,  4 ,  1 ,  84 ,  2.042 ,  29 ,  -   ,,,,,,,,,,,,,,
SANTA TERESITA,  4.309 ,  3.478 ,  307 ,  76 ,  3 ,  24 ,  -   ,  2 ,  -   ,  -   ,  14 ,  403 ,  2 ,  -   ,,,,,,,,,,,,,,
SANTO TOMAS,  42.629 ,  27.850 ,  4.416 ,  373 ,  1.828 ,  47 ,  18 ,  626 ,  471 ,  112 ,  511 ,  6.355 ,  22 ,  -   ,,,,,,,,,,,,,,
TAAL,  12.293 ,  8.733 ,  1.276 ,  407 ,  411 ,  85 ,  91 ,  48 ,  1 ,  68 ,  26 ,  1.128 ,  19 ,  -   ,,,,,,,,,,,,,,
TALISAY,  9.825 ,  3.993 ,  1.079 ,  1.790 ,  2.042 ,  290 ,  136 ,  147 ,  2 ,  6 ,  10 ,  330 ,  -   ,  -   ,,,,,,,,,,,,,,
CITY OF TANAUAN,  38.239 ,  29.606 ,  2.783 ,  467 ,  500 ,  68 ,  84 ,  202 ,  2 ,  11 ,  42 ,  4.323 ,  151 ,  -   ,,,,,,,,,,,,,,
TAYSAN,  8.512 ,  4.644 ,  728 ,  611 ,  1.221 ,  16 ,  127 ,  589 ,  12 ,  16 ,  5 ,  524 ,  19 ,  -   ,,,,,,,,,,,,,,
TINGLOY,  4.315 ,  1.076 ,  232 ,  510 ,  1.498 ,  481 ,  68 ,  9 ,  -   ,  -   ,  -   ,  437 ,  4 ,  -   ,,,,,,,,,,,,,,
TUY,  10.073 ,  7.336 ,  1.103 ,  455 ,  725 ,  7 ,  51 ,  64 ,  1 ,  194 ,  9 ,  119 ,  9 ,  -   ,,,,,,,,,,,,,,
CAVITE,  877.743 ,  247.406 ,  48.785 ,  8.741 ,  20.189 ,  1.076 ,  1.821 ,  4.786 ,  309 ,  728 ,  15.307 ,  526.507 ,  2.088 ,  -   ,,,,,,,,,,,,,,
ALFONSO,  11.820 ,  8.456 ,  594 ,  245 ,  301 ,  10 ,  86 ,  36 ,  5 ,  241 ,  5 ,  1.835 ,  6 ,  -   ,,,,,,,,,,,,,,
AMADEO,  8.811 ,  3.963 ,  482 ,  24 ,  37 ,  -   ,  5 ,  89 ,  36 ,  63 ,  381 ,  3.711 ,  20 ,  -   ,,,,,,,,,,,,,,
BACOOR CITY,  149.160 ,  26.087 ,  8.053 ,  1.932 ,  2.012 ,  61 ,  76 ,  961 ,  5 ,  8 ,  5.269 ,  104.330 ,  366 ,  -   ,,,,,,,,,,,,,,
CARMONA,  24.427 ,  3.660 ,  1.554 ,  65 ,  974 ,  58 ,  14 ,  56 ,  116 ,  13 ,  175 ,  17.680 ,  62 ,  -   ,,,,,,,,,,,,,,
CAVITE CITY,  25.997 ,  3.293 ,  1.258 ,  22 ,  9 ,  4 ,  3 ,  17 ,  -   ,  -   ,  376 ,  21.010 ,  5 ,  -   ,,,,,,,,,,,,,,
CITY OF DASMARIÑAS,  147.799 ,  69.485 ,  8.167 ,  461 ,  1.279 ,  47 ,  52 ,  587 ,  5 ,  23 ,  3.479 ,  63.450 ,  764 ,  -   ,,,,,,,,,,,,,,
GENERAL EMILIO AGUINALDO,  4.414 ,  2.258 ,  157 ,  12 ,  5 ,  19 ,  11 ,  86 ,  1 ,  29 ,  1 ,  1.820 ,  15 ,  -   ,,,,,,,,,,,,,,
CITY OF GENERAL TRIAS,  80.142 ,  13.076 ,  2.622 ,  556 ,  1.120 ,  67 ,  111 ,  225 ,  4 ,  24 ,  264 ,  61.922 ,  151 ,  -   ,,,,,,,,,,,,,,
IMUS CITY,  97.373 ,  8.417 ,  679 ,  1.486 ,  773 ,  78 ,  97 ,  745 ,  1 ,  10 ,  179 ,  84.796 ,  112 ,  -   ,,,,,,,,,,,,,,
INDANG,  15.016 ,  8.709 ,  1.698 ,  170 ,  299 ,  25 ,  30 ,  603 ,  14 ,  66 ,  43 ,  3.332 ,  27 ,  -   ,,,,,,,,,,,,,,
KAWIT,  21.018 ,  1.494 ,  430 ,  91 ,  1.405 ,  154 ,  5 ,  16 ,  -   ,  2 ,  193 ,  17.129 ,  99 ,  -   ,,,,,,,,,,,,,,
MAGALLANES,  4.777 ,  2.241 ,  894 ,  14 ,  5 ,  5 ,  249 ,  101 ,  9 ,  2 ,  3 ,  1.254 ,  -   ,  -   ,,,,,,,,,,,,,,
MARAGONDON,  8.339 ,  2.266 ,  482 ,  115 ,  657 ,  211 ,  56 ,  39 ,  5 ,  1 ,  75 ,  4.418 ,  14 ,  -   ,,,,,,,,,,,,,,
MENDEZ (MENDEZ-NUÑEZ),  7.179 ,  4.010 ,  672 ,  5 ,  6 ,  1 ,  1 ,  7 ,  -   ,  15 ,  271 ,  2.190 ,  1 ,  -   ,,,,,,,,,,,,,,
NAIC,  26.131 ,  1.238 ,  453 ,  1.048 ,  3.491 ,  40 ,  50 ,  164 ,  3 ,  -   ,  536 ,  19.072 ,  36 ,  -   ,,,,,,,,,,,,,,
NOVELETA,  11.648 ,  1.921 ,  126 ,  285 ,  274 ,  19 ,  8 ,  6 ,  -   ,  2 ,  224 ,  8.782 ,  1 ,  -   ,,,,,,,,,,,,,,
ROSARIO,  29.316 ,  2.272 ,  860 ,  298 ,  443 ,  66 ,  107 ,  24 ,  2 ,  1 ,  7 ,  25.220 ,  16 ,  -   ,,,,,,,,,,,,,,
SILANG,  58.196 ,  33.535 ,  7.285 ,  284 ,  374 ,  26 ,  199 ,  548 ,  81 ,  199 ,  2.149 ,  13.441 ,  75 ,  -   ,,,,,,,,,,,,,,
TAGAYTAY CITY,  16.095 ,  10.979 ,  1.969 ,  16 ,  223 ,  40 ,  56 ,  86 ,  5 ,  7 ,  570 ,  2.125 ,  19 ,  -   ,,,,,,,,,,,,,,
TANZA,  54.446 ,  8.842 ,  2.134 ,  943 ,  3.372 ,  18 ,  466 ,  285 ,  3 ,  9 ,  31 ,  38.286 ,  57 ,  -   ,,,,,,,,,,,,,,
TERNATE,  5.673 ,  149 ,  270 ,  317 ,  2.490 ,  89 ,  65 ,  26 ,  10 ,  5 ,  31 ,  2.191 ,  30 ,  -   ,,,,,,,,,,,,,,
TRECE MARTIRES CITY (Capital),  35.193 ,  10.139 ,  1.035 ,  317 ,  550 ,  30 ,  56 ,  50 ,  2 ,  6 ,  580 ,  22.383 ,  45 ,  -   ,,,,,,,,,,,,,,
GEN. MARIANO ALVAREZ,  34.773 ,  20.916 ,  6.911 ,  35 ,  90 ,  8 ,  18 ,  29 ,  2 ,  2 ,  465 ,  6.130 ,  167 ,  -   ,,,,,,,,,,,,,,
LAGUNA,  765.513 ,  236.522 ,  53.432 ,  28.063 ,  49.060 ,  4.491 ,  2.571 ,  15.266 ,  1.995 ,  913 ,  13.665 ,  358.635 ,  900 ,  -   ,,,,,,,,,,,,,,
ALAMINOS,  11.154 ,  8.120 ,  1.222 ,  37 ,  257 ,  42 ,  159 ,  46 ,  -   ,  1 ,  3 ,  1.264 ,  3 ,  -   ,,,,,,,,,,,,,,
BAY,  15.149 ,  6.359 ,  1.750 ,  467 ,  1.429 ,  272 ,  8 ,  92 ,  215 ,  9 ,  4 ,  4.468 ,  76 ,  -   ,,,,,,,,,,,,,,
CITY OF BIÑAN,  86.752 ,  9.853 ,  2.584 ,  1.328 ,  2.378 ,  238 ,  83 ,  117 ,  3 ,  6 ,  144 ,  69.964 ,  54 ,  -   ,,,,,,,,,,,,,,
CABUYAO CITY,  81.573 ,  9.829 ,  1.288 ,  1.704 ,  1.414 ,  169 ,  172 ,  366 ,  -   ,  8 ,  3.683 ,  62.899 ,  41 ,  -   ,,,,,,,,,,,,,,
CITY OF CALAMBA,  123.071 ,  56.313 ,  8.793 ,  6.084 ,  9.951 ,  631 ,  245 ,  400 ,  148 ,  417 ,  1.181 ,  38.855 ,  53 ,  -   ,,,,,,,,,,,,,,
CALAUAN,  17.669 ,  6.441 ,  4.028 ,  1.359 ,  2.659 ,  499 ,  82 ,  821 ,  212 ,  24 ,  288 ,  1.240 ,  16 ,  -   ,,,,,,,,,,,,,,
CAVINTI,  5.359 ,  2.045 ,  537 ,  126 ,  368 ,  20 ,  186 ,  856 ,  127 ,  4 ,  50 ,  1.032 ,  8 ,  -   ,,,,,,,,,,,,,,
FAMY,  4.117 ,  1.785 ,  628 ,  50 ,  738 ,  252 ,  53 ,  374 ,  23 ,  13 ,  32 ,  169 ,  -   ,  -   ,,,,,,,,,,,,,,
KALAYAAN,  5.147 ,  1.670 ,  1.489 ,  24 ,  113 ,  11 ,  242 ,  940 ,  35 ,  -   ,  306 ,  298 ,  19 ,  -   ,,,,,,,,,,,,,,
LILIW,  9.309 ,  6.648 ,  873 ,  16 ,  73 ,  1 ,  36 ,  32 ,  6 ,  -   ,  1 ,  1.621 ,  2 ,  -   ,,,,,,,,,,,,,,
LOS BAÑOS,  29.020 ,  21.993 ,  2.197 ,  1.082 ,  980 ,  322 ,  205 ,  387 ,  1 ,  75 ,  12 ,  1.763 ,  3 ,  -   ,,,,,,,,,,,,,,
LUISIANA,  4.847 ,  1.158 ,  1.214 ,  66 ,  246 ,  5 ,  76 ,  98 ,  1 ,  16 ,  98 ,  1.869 ,  -   ,  -   ,,,,,,,,,,,,,,
LUMBAN,  7.350 ,  903 ,  501 ,  673 ,  1.593 ,  90 ,  12 ,  460 ,  202 ,  22 ,  67 ,  2.826 ,  1 ,  -   ,,,,,,,,,,,,,,
MABITAC,  4.575 ,  222 ,  796 ,  230 ,  1.743 ,  126 ,  7 ,  740 ,  2 ,  2 ,  90 ,  607 ,  10 ,  -   ,,,,,,,,,,,,,,
MAGDALENA,  5.850 ,  554 ,  513 ,  134 ,  1.215 ,  9 ,  12 ,  273 ,  2 ,  1 ,  2.311 ,  826 ,  -   ,  -   ,,,,,,,,,,,,,,
MAJAYJAY,  6.624 ,  3.436 ,  1.452 ,  7 ,  5 ,  -   ,  21 ,  367 ,  4 ,  2 ,  61 ,  1.266 ,  3 ,  -   ,,,,,,,,,,,,,,
NAGCARLAN,  15.692 ,  11.616 ,  1.891 ,  41 ,  123 ,  8 ,  11 ,  195 ,  134 ,  38 ,  8 ,  1.616 ,  11 ,  -   ,,,,,,,,,,,,,,
PAETE,  5.602 ,  1.425 ,  151 ,  26 ,  266 ,  5 ,  2 ,  3.209 ,  -   ,  5 ,  8 ,  504 ,  1 ,  -   ,,,,,,,,,,,,,,
PAGSANJAN,  9.747 ,  3.495 ,  443 ,  157 ,  767 ,  25 ,  96 ,  193 ,  190 ,  1 ,  81 ,  4.241 ,  58 ,  -   ,,,,,,,,,,,,,,
PAKIL,  4.597 ,  1.264 ,  691 ,  356 ,  983 ,  132 ,  38 ,  780 ,  -   ,  6 ,  -   ,  347 ,  -   ,  -   ,,,,,,,,,,,,,,
PANGIL,  5.492 ,  2.292 ,  960 ,  115 ,  883 ,  251 ,  110 ,  147 ,  -   ,  4 ,  49 ,  642 ,  39 ,  -   ,,,,,,,,,,,,,,
PILA,  11.447 ,  398 ,  163 ,  1.654 ,  2.981 ,  182 ,  11 ,  788 ,  178 ,  -   ,  52 ,  5.035 ,  5 ,  -   ,,,,,,,,,,,,,,
RIZAL,  4.065 ,  2.200 ,  292 ,  5 ,  67 ,  10 ,  5 ,  95 ,  46 ,  2 ,  254 ,  1.079 ,  10 ,  -   ,,,,,,,,,,,,,,
SAN PABLO CITY,  62.289 ,  37.489 ,  6.076 ,  6.114 ,  6.681 ,  292 ,  134 ,  1.279 ,  324 ,  189 ,  189 ,  3.337 ,  185 ,  -   ,,,,,,,,,,,,,,
CITY OF SAN PEDRO,  73.030 ,  13.229 ,  5.259 ,  779 ,  1.244 ,  167 ,  21 ,  214 ,  -   ,  2 ,  183 ,  51.745 ,  187 ,  -   ,,,,,,,,,,,,,,
SANTA CRUZ (Capital),  27.982 ,  4.207 ,  1.011 ,  1.153 ,  4.691 ,  255 ,  62 ,  95 ,  13 ,  4 ,  190 ,  16.244 ,  57 ,  -   ,,,,,,,,,,,,,,
SANTA MARIA,  7.308 ,  1.935 ,  2.980 ,  116 ,  1.032 ,  3 ,  130 ,  448 ,  123 ,  1 ,  3 ,  536 ,  1 ,  -   ,,,,,,,,,,,,,,
CITY OF SANTA ROSA,  101.385 ,  12.139 ,  2.125 ,  2.261 ,  1.999 ,  446 ,  304 ,  522 ,  3 ,  24 ,  4.280 ,  77.228 ,  54 ,  -   ,,,,,,,,,,,,,,
SINILOAN,  8.489 ,  3.887 ,  485 ,  373 ,  1.325 ,  27 ,  45 ,  910 ,  3 ,  36 ,  37 ,  1.359 ,  2 ,  -   ,,,,,,,,,,,,,,
VICTORIA,  10.822 ,  3.617 ,  1.040 ,  1.526 ,  856 ,  1 ,  3 ,  22 ,  -   ,  1 ,  -   ,  3.755 ,  1 ,  -   ,,,,,,,,,,,,,,
QUEZON (excluding Lucena City),  425.837 ,  82.503 ,  61.273 ,  42.783 ,  65.650 ,  9.120 ,  44.362 ,  21.963 ,  7.777 ,  3.105 ,  10.221 ,  76.093 ,  987 ,  -   ,,,,,,,,,,,,,,
AGDANGAN,  3.171 ,  144 ,  525 ,  188 ,  1.009 ,  71 ,  129 ,  1 ,  6 ,  36 ,  39 ,  1.022 ,  1 ,  -   ,,,,,,,,,,,,,,
ALABAT,  3.566 ,  157 ,  1.148 ,  317 ,  563 ,  44 ,  102 ,  76 ,  2 ,  58 ,  25 ,  1.074 ,  -   ,  -   ,,,,,,,,,,,,,,
ATIMONAN,  15.001 ,  466 ,  2.058 ,  720 ,  2.753 ,  32 ,  449 ,  582 ,  338 ,  234 ,  62 ,  7.294 ,  13 ,  -   ,,,,,,,,,,,,,,
BUENAVISTA,  6.765 ,  254 ,  1.109 ,  375 ,  1.315 ,  142 ,  1.450 ,  275 ,  475 ,  57 ,  4 ,  1.308 ,  1 ,  -   ,,,,,,,,,,,,,,
BURDEOS,  5.652 ,  1.107 ,  787 ,  128 ,  336 ,  62 ,  2.195 ,  519 ,  102 ,  211 ,  5 ,  200 ,  -   ,  -   ,,,,,,,,,,,,,,
CALAUAG,  16.881 ,  1.598 ,  1.963 ,  464 ,  2.916 ,  344 ,  4.105 ,  439 ,  36 ,  32 ,  389 ,  4.046 ,  549 ,  -   ,,,,,,,,,,,,,,
CANDELARIA,  28.055 ,  6.326 ,  2.208 ,  9.418 ,  5.504 ,  307 ,  319 ,  577 ,  43 ,  31 ,  200 ,  3.112 ,  10 ,  -   ,,,,,,,,,,,,,,
CATANAUAN,  15.334 ,  1.658 ,  1.589 ,  1.518 ,  2.031 ,  239 ,  2.835 ,  1.358 ,  141 ,  38 ,  98 ,  3.826 ,  3 ,  -   ,,,,,,,,,,,,,,
DOLORES,  6.510 ,  2.473 ,  545 ,  573 ,  422 ,  57 ,  20 ,  1.522 ,  64 ,  9 ,  2 ,  785 ,  38 ,  -   ,,,,,,,,,,,,,,
GENERAL LUNA,  5.680 ,  255 ,  818 ,  106 ,  352 ,  92 ,  1.966 ,  449 ,  90 ,  3 ,  250 ,  1.297 ,  2 ,  -   ,,,,,,,,,,,,,,
GENERAL NAKAR,  6.451 ,  591 ,  1.909 ,  554 ,  816 ,  12 ,  102 ,  1.320 ,  887 ,  94 ,  2 ,  143 ,  21 ,  -   ,,,,,,,,,,,,,,
GUINAYANGAN,  10.304 ,  1.706 ,  1.761 ,  867 ,  1.336 ,  144 ,  1.516 ,  564 ,  64 ,  27 ,  3 ,  2.312 ,  4 ,  -   ,,,,,,,,,,,,,,
GUMACA,  18.445 ,  443 ,  1.267 ,  685 ,  3.878 ,  322 ,  1.714 ,  715 ,  320 ,  344 ,  796 ,  7.953 ,  8 ,  -   ,,,,,,,,,,,,,,
INFANTA,  16.449 ,  5.974 ,  2.666 ,  1.473 ,  2.056 ,  444 ,  588 ,  415 ,  30 ,  18 ,  914 ,  1.820 ,  51 ,  -   ,,,,,,,,,,,,,,
JOMALIG,  1.532 ,  -   ,  4 ,  41 ,  430 ,  526 ,  461 ,  3 ,  3 ,  3 ,  3 ,  58 ,  -   ,  -   ,,,,,,,,,,,,,,
LOPEZ,  20.863 ,  856 ,  1.777 ,  832 ,  1.416 ,  455 ,  5.140 ,  2.014 ,  415 ,  342 ,  1.260 ,  6.290 ,  66 ,  -   ,,,,,,,,,,,,,,
LUCBAN,  11.969 ,  8.284 ,  543 ,  287 ,  279 ,  26 ,  108 ,  465 ,  17 ,  30 ,  201 ,  1.727 ,  2 ,  -   ,,,,,,,,,,,,,,
MACALELON,  5.931 ,  112 ,  1.208 ,  108 ,  815 ,  162 ,  1.499 ,  57 ,  76 ,  302 ,  102 ,  1.488 ,  2 ,  -   ,,,,,,,,,,,,,,
MAUBAN,  15.381 ,  1.183 ,  3.466 ,  812 ,  4.254 ,  503 ,  808 ,  1.115 ,  306 ,  59 ,  174 ,  2.694 ,  7 ,  -   ,,,,,,,,,,,,,,
MULANAY,  11.718 ,  507 ,  1.533 ,  724 ,  2.331 ,  605 ,  2.224 ,  421 ,  200 ,  98 ,  12 ,  3.061 ,  2 ,  -   ,,,,,,,,,,,,,,
PADRE BURGOS,  5.182 ,  164 ,  899 ,  299 ,  1.730 ,  20 ,  225 ,  83 ,  -   ,  25 ,  1.543 ,  189 ,  5 ,  -   ,,,,,,,,,,,,,,
PAGBILAO,  17.284 ,  6.929 ,  4.881 ,  70 ,  452 ,  6 ,  589 ,  239 ,  188 ,  28 ,  2.451 ,  1.428 ,  23 ,  -   ,,,,,,,,,,,,,,
PANUKULAN,  2.891 ,  433 ,  319 ,  95 ,  155 ,  119 ,  1.306 ,  400 ,  5 ,  25 ,  2 ,  32 ,  -   ,  -   ,,,,,,,,,,,,,,
PATNANUNGAN,  3.287 ,  26 ,  57 ,  87 ,  72 ,  125 ,  1.827 ,  545 ,  3 ,  2 ,  5 ,  536 ,  2 ,  -   ,,,,,,,,,,,,,,
PEREZ,  2.776 ,  64 ,  346 ,  88 ,  1.506 ,  168 ,  425 ,  7 ,  2 ,  10 ,  1 ,  156 ,  3 ,  -   ,,,,,,,,,,,,,,
PITOGO,  5.222 ,  50 ,  1.267 ,  74 ,  981 ,  54 ,  622 ,  107 ,  10 ,  75 ,  4 ,  1.976 ,  2 ,  -   ,,,,,,,,,,,,,,
PLARIDEL,  2.380 ,  17 ,  52 ,  154 ,  819 ,  17 ,  33 ,  6 ,  3 ,  29 ,  2 ,  1.248 ,  -   ,  -   ,,,,,,,,,,,,,,
POLILLO,  6.965 ,  839 ,  1.439 ,  317 ,  702 ,  11 ,  1.423 ,  11 ,  1.918 ,  65 ,  61 ,  173 ,  6 ,  -   ,,,,,,,,,,,,,,
QUEZON,  3.681 ,  38 ,  420 ,  158 ,  1.452 ,  29 ,  70 ,  28 ,  1 ,  66 ,  -   ,  1.419 ,  -   ,  -   ,,,,,,,,,,,,,,
REAL,  8.015 ,  2.737 ,  1.367 ,  123 ,  723 ,  67 ,  160 ,  707 ,  69 ,  171 ,  3 ,  1.885 ,  3 ,  -   ,,,,,,,,,,,,,,
SAMPALOC,  3.035 ,  1.789 ,  264 ,  19 ,  26 ,  9 ,  5 ,  40 ,  1 ,  6 ,  5 ,  868 ,  3 ,  -   ,,,,,,,,,,,,,,
SAN ANDRES,  8.745 ,  524 ,  2.150 ,  624 ,  1.893 ,  101 ,  1.605 ,  197 ,  606 ,  167 ,  6 ,  871 ,  1 ,  -   ,,,,,,,,,,,,,,
SAN ANTONIO,  7.383 ,  2.267 ,  466 ,  1.885 ,  1.467 ,  238 ,  313 ,  183 ,  1 ,  34 ,  2 ,  526 ,  1 ,  -   ,,,,,,,,,,,,,,
SAN FRANCISCO (AURORA),  13.903 ,  1.656 ,  5.354 ,  744 ,  1.623 ,  532 ,  1.691 ,  1.247 ,  467 ,  142 ,  11 ,  434 ,  2 ,  -   ,,,,,,,,,,,,,,
SAN NARCISO,  10.700 ,  1.438 ,  1.314 ,  200 ,  2.154 ,  629 ,  1.462 ,  1.348 ,  204 ,  6 ,  1 ,  1.944 ,  -   ,  -   ,,,,,,,,,,,,,,
SARIAYA,  34.592 ,  10.324 ,  2.448 ,  9.003 ,  6.176 ,  1.937 ,  39 ,  718 ,  17 ,  66 ,  781 ,  3.066 ,  17 ,  -   ,,,,,,,,,,,,,,
TAGKAWAYAN,  11.645 ,  2.118 ,  1.948 ,  667 ,  1.905 ,  57 ,  2.426 ,  535 ,  248 ,  11 ,  215 ,  1.512 ,  3 ,  -   ,,,,,,,,,,,,,,
CITY OF TAYABAS,  23.837 ,  11.034 ,  5.636 ,  520 ,  1.008 ,  153 ,  734 ,  1.466 ,  288 ,  60 ,  217 ,  2.611 ,  110 ,  -   ,,,,,,,,,,,,,,
TIAONG,  22.366 ,  5.891 ,  1.278 ,  7.369 ,  5.012 ,  102 ,  115 ,  314 ,  99 ,  10 ,  63 ,  2.087 ,  26 ,  -   ,,,,,,,,,,,,,,
UNISAN,  6.290 ,  71 ,  484 ,  97 ,  982 ,  157 ,  1.562 ,  895 ,  32 ,  81 ,  307 ,  1.622 ,  -   ,  -   ,,,,,,,,,,,,,,
LUCENA CITY (Capital),  59.836 ,  24.166 ,  16.153 ,  747 ,  2.343 ,  665 ,  94 ,  319 ,  15 ,  16 ,  6.467 ,  8.799 ,  52 ,  -   ,,,,,,,,,,,,,,
RIZAL,  652.578 ,  330.044 ,  72.742 ,  8.917 ,  26.355 ,  2.759 ,  5.740 ,  12.276 ,  1.957 ,  581 ,  16.852 ,  172.113 ,  2.242 ,  -   ,,,,,,,,,,,,,,
ANGONO,  25.325 ,  10.811 ,  2.228 ,  77 ,  116 ,  8 ,  40 ,  204 ,  12 ,  1 ,  158 ,  11.578 ,  92 ,  -   ,,,,,,,,,,,,,,
CITY OF ANTIPOLO,  170.496 ,  102.022 ,  26.843 ,  2.707 ,  3.533 ,  611 ,  1.513 ,  3.596 ,  292 ,  136 ,  4.588 ,  24.100 ,  555 ,  -   ,,,,,,,,,,,,,,
BARAS,  16.706 ,  2.369 ,  893 ,  343 ,  3.521 ,  207 ,  94 ,  301 ,  153 ,  153 ,  1.284 ,  7.381 ,  7 ,  -   ,,,,,,,,,,,,,,
BINANGONAN,  69.786 ,  42.429 ,  7.417 ,  1.536 ,  4.709 ,  136 ,  59 ,  146 ,  4 ,  35 ,  375 ,  12.891 ,  49 ,  -   ,,,,,,,,,,,,,,
CAINTA,  71.463 ,  37.538 ,  6.425 ,  367 ,  426 ,  14 ,  17 ,  228 ,  2 ,  2 ,  2.691 ,  22.873 ,  880 ,  -   ,,,,,,,,,,,,,,
CARDONA,  12.114 ,  5.961 ,  1.404 ,  234 ,  2.430 ,  2 ,  47 ,  45 ,  1 ,  1 ,  1 ,  1.982 ,  6 ,  -   ,,,,,,,,,,,,,,
JALA-JALA,  6.919 ,  1.372 ,  783 ,  723 ,  1.466 ,  32 ,  37 ,  166 ,  16 ,  88 ,  163 ,  2.067 ,  6 ,  -   ,,,,,,,,,,,,,,
RODRIGUEZ (MONTALBAN),  82.348 ,  30.310 ,  3.124 ,  846 ,  3.471 ,  491 ,  2.787 ,  3.109 ,  192 ,  17 ,  2.118 ,  35.731 ,  152 ,  -   ,,,,,,,,,,,,,,
MORONG,  13.180 ,  9.425 ,  1.354 ,  69 ,  805 ,  33 ,  89 ,  114 ,  3 ,  1 ,  18 ,  1.266 ,  3 ,  -   ,,,,,,,,,,,,,,
PILILLA,  14.734 ,  5.882 ,  1.496 ,  271 ,  1.737 ,  442 ,  177 ,  252 ,  448 ,  67 ,  881 ,  3.029 ,  52 ,  -   ,,,,,,,,,,,,,,
SAN MATEO,  56.379 ,  24.086 ,  6.703 ,  444 ,  1.903 ,  460 ,  409 ,  849 ,  44 ,  41 ,  945 ,  20.348 ,  147 ,  -   ,,,,,,,,,,,,,,
TANAY,  25.836 ,  12.628 ,  2.805 ,  411 ,  1.309 ,  78 ,  349 ,  2.577 ,  762 ,  27 ,  741 ,  4.061 ,  88 ,  -   ,,,,,,,,,,,,,,
TAYTAY,  73.835 ,  38.773 ,  9.969 ,  608 ,  467 ,  216 ,  103 ,  583 ,  18 ,  9 ,  2.077 ,  20.810 ,  202 ,  -   ,,,,,,,,,,,,,,
TERESA,  13.457 ,  6.438 ,  1.298 ,  281 ,  462 ,  29 ,  19 ,  106 ,  10 ,  3 ,  812 ,  3.996 ,  3 ,  -   ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIMAROPA REGION,  682.668 ,  114.663 ,  95.112 ,  70.811 ,  138.860 ,  28.401 ,  59.447 ,  30.232 ,  13.891 ,  11.782 ,  22.142 ,  95.961 ,  1.366 ,  -   ,,,,,,,,,,,,,,
MARINDUQUE,  54.508 ,  8.276 ,  11.167 ,  1.899 ,  9.462 ,  925 ,  1.967 ,  2.453 ,  857 ,  663 ,  169 ,  16.655 ,  15 ,  -   ,,,,,,,,,,,,,,
BOAC (Capital),  12.679 ,  1.733 ,  2.164 ,  167 ,  2.573 ,  182 ,  248 ,  773 ,  245 ,  24 ,  9 ,  4.556 ,  5 ,  -   ,,,,,,,,,,,,,,
BUENAVISTA,  5.312 ,  938 ,  1.739 ,  389 ,  1.117 ,  15 ,  65 ,  125 ,  4 ,  47 ,  8 ,  864 ,  1 ,  -   ,,,,,,,,,,,,,,
GASAN,  8.070 ,  800 ,  1.431 ,  696 ,  1.876 ,  508 ,  65 ,  122 ,  126 ,  13 ,  99 ,  2.328 ,  6 ,  -   ,,,,,,,,,,,,,,
MOGPOG,  8.241 ,  723 ,  1.329 ,  134 ,  1.347 ,  68 ,  624 ,  773 ,  188 ,  7 ,  23 ,  3.025 ,  -   ,  -   ,,,,,,,,,,,,,,
SANTA CRUZ,  13.340 ,  2.623 ,  1.953 ,  450 ,  1.861 ,  124 ,  699 ,  355 ,  270 ,  552 ,  30 ,  4.420 ,  3 ,  -   ,,,,,,,,,,,,,,
TORRIJOS,  6.866 ,  1.459 ,  2.551 ,  63 ,  688 ,  28 ,  266 ,  305 ,  24 ,  20 ,  -   ,  1.462 ,  -   ,  -   ,,,,,,,,,,,,,,
OCCIDENTAL MINDORO,  111.714 ,  8.777 ,  8.988 ,  15.918 ,  22.261 ,  13.683 ,  2.879 ,  4.505 ,  2.494 ,  1.533 ,  1.281 ,  29.342 ,  53 ,  -   ,,,,,,,,,,,,,,
ABRA DE ILOG,  7.329 ,  1.076 ,  459 ,  846 ,  2.749 ,  773 ,  301 ,  613 ,  188 ,  250 ,  1 ,  67 ,  6 ,  -   ,,,,,,,,,,,,,,
CALINTAAN,  6.451 ,  135 ,  322 ,  787 ,  1.197 ,  2.127 ,  10 ,  244 ,  116 ,  72 ,  5 ,  1.435 ,  1 ,  -   ,,,,,,,,,,,,,,
LOOC,  2.421 ,  703 ,  803 ,  106 ,  240 ,  203 ,  320 ,  21 ,  1 ,  19 ,  -   ,  5 ,  -   ,  -   ,,,,,,,,,,,,,,
LUBANG,  4.777 ,  1.366 ,  447 ,  59 ,  78 ,  17 ,  199 ,  2 ,  4 ,  455 ,  2 ,  2.146 ,  2 ,  -   ,,,,,,,,,,,,,,
MAGSAYSAY,  7.819 ,  518 ,  409 ,  499 ,  2.173 ,  714 ,  61 ,  962 ,  335 ,  44 ,  59 ,  2.044 ,  1 ,  -   ,,,,,,,,,,,,,,
